	Acute Myeloid Leukemia	Adenosquamous Carcinoma of the Pancreas	Adrenocortical Carcinoma	Ampullary Carcinoma	Anaplastic Thyroid Cancer	B-Lymphoblastic Leukemia/Lymphoma	Bladder Squamous Cell Carcinoma	Bladder Urothelial Carcinoma	Breast Ductal Carcinoma In Situ	Breast Neoplasm, NOS	CIC-DUX4 Sarcoma	Cervical Adenocarcinoma	Cervical Squamous Cell Carcinoma	Chondrosarcoma	Colorectal Adenocarcinoma	Cutaneous Squamous Cell Carcinoma	Diffuse Glioma	Embryonal Tumor	Endometrial Carcinoma	Epithelioid Sarcoma	Esophageal Squamous Cell Carcinoma	Esophagogastric Adenocarcinoma	Ewing Sarcoma	Fibrosarcoma	Gestational Trophoblastic Disease	Glassy Cell Carcinoma of the Cervix	Head and Neck Carcinoma, Other	Head and Neck Squamous Cell Carcinoma	Hepatoblastoma	Hepatocellular Carcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hodgkin Lymphoma	Intracholecystic Papillary Neoplasm	Intraductal Papillary Neoplasm of the Bile Duct	Invasive Breast Carcinoma	Leiomyosarcoma	Liposarcoma	Lung Neuroendocrine Tumor	Mature B-Cell Neoplasms	Mature T and NK Neoplasms	Medullary Thyroid Cancer	Melanoma	Meningothelial Tumor	Merkel Cell Carcinoma	Mixed Cervical Carcinoma	Mucosal Melanoma of the Vulva/Vagina	Myelodysplastic Syndromes	Myeloproliferative Neoplasms	Nerve Sheath Tumor	Neuroblastoma	Non-Cancerous	Non-Hodgkin Lymphoma	Non-Seminomatous Germ Cell Tumor	Non-Small Cell Lung Cancer	Ocular Melanoma	Osteosarcoma	Ovarian Cancer, Other	Ovarian Epithelial Tumor	Ovarian Germ Cell Tumor	Pancreatic Adenocarcinoma	Pancreatic Neuroendocrine Tumor	Pleural Mesothelioma	Poorly Differentiated Thyroid Cancer	Prostate Adenocarcinoma	Prostate Small Cell Carcinoma	Renal Cell Carcinoma	Retinoblastoma	Rhabdoid Cancer	Rhabdomyosarcoma	SMARCA4-deficient undifferentiated tumor	Sarcoma, NOS	Small Bowel Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	Synovial Sarcoma	T-Lymphoblastic Leukemia/Lymphoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Urethral Cancer	Uterine Sarcoma/Mesenchymal	Well-Differentiated Thyroid Cancer
CC2D1A	0.657048	0.66109	0.659986	0.66288	0.658313	0.657437	0.662451	0.657909	0.654629	0.660849	0.654265	0.661056	0.659072	0.657863	0.655426	0.660277	0.657525	0.66069	0.657213	0.657737	0.657132	0.658463	0.659114	0.659897	0.663092	0.6642	0.661276	0.65933	0.662881	0.660234	0.664584	0.655313	0.658583	0.661029	0.656677	0.657031	0.663399	0.653062	0.658224	0.656103	0.657176	0.658464	0.660934	0.662366	0.656759	0.663126	0.654381	0.655312	0.663845	0.661106	0.659273	0.657616	0.666108	0.658598	0.662436	0.659893	0.663741	0.658943	0.662661	0.660309	0.653082	0.662157	0.65846	0.656249	0.648159	0.660498	0.661362	0.659101	0.661635	0.657155	0.655582	0.658401	0.668491	0.657659	0.654873	0.664574	0.654606	0.658566	0.657313
PPARG	0.67124	0.634355	0.688812	0.630285	0.652166	0.688181	0.629348	0.625985	0.662722	0.667198	0.688349	0.662478	0.656374	0.670205	0.629139	0.653161	0.665457	0.670735	0.662757	0.646346	0.649498	0.630121	0.682945	0.681397	0.619096	0.649053	0.692048	0.658605	0.65862	0.637391	0.614647	0.663024	0.630701	0.642223	0.651575	0.648321	0.657144	0.675011	0.688369	0.670322	0.69143	0.666973	0.643334	0.647459	0.69143	0.693147	0.690046	0.685343	0.64609	0.661716	0.657128	0.671399	0.67068	0.643621	0.670044	0.654796	0.625626	0.656561	0.680018	0.622506	0.688812	0.65288	0.682747	0.661855	0.689049	0.646556	0.682849	0.686067	0.674437	0.666636	0.639331	0.689291	0.669504	0.658677	0.669499	0.663744	0.637934	0.686523	0.645979
TERF2	0.658033	0.655807	0.659949	0.660183	0.65919	0.654232	0.664871	0.658272	0.660694	0.657587	0.656018	0.662416	0.659671	0.65656	0.657804	0.66022	0.658254	0.659675	0.658576	0.660352	0.658625	0.6595	0.659034	0.658686	0.659917	0.654741	0.663633	0.662361	0.657872	0.660001	0.66188	0.654917	0.660766	0.661797	0.661529	0.658895	0.663118	0.654669	0.655541	0.657958	0.654796	0.661102	0.657997	0.659273	0.654388	0.666987	0.662173	0.657976	0.659718	0.656329	0.660655	0.656427	0.661693	0.658482	0.665196	0.658956	0.658582	0.661019	0.658321	0.659824	0.65573	0.659554	0.657643	0.660554	0.657802	0.661352	0.655558	0.655492	0.658989	0.657884	0.656001	0.654773	0.678761	0.657129	0.656581	0.659977	0.659639	0.657724	0.659822
ZBED3	0.655189	0.656095	0.662656	0.659547	0.665713	0.643655	0.680075	0.664472	0.658986	0.650936	0.662395	0.657022	0.658883	0.652467	0.651734	0.680773	0.658505	0.655046	0.647363	0.66077	0.665582	0.656714	0.651949	0.662088	0.683262	0.652509	0.657701	0.674364	0.651229	0.652678	0.656219	0.672638	0.661786	0.660802	0.66208	0.670464	0.665099	0.653965	0.656841	0.655826	0.648586	0.659936	0.6602	0.64937	0.675682	0.651321	0.64822	0.652314	0.663485	0.649254	0.667618	0.679063	0.664286	0.661444	0.655692	0.657857	0.66689	0.658549	0.657896	0.665053	0.645056	0.664852	0.66455	0.647994	0.647052	0.658886	0.649064	0.655565	0.658751	0.652958	0.675912	0.6547	0.690127	0.651993	0.647569	0.660743	0.664878	0.651135	0.659656
ZNF414	0.654443	0.657181	0.653097	0.662561	0.658217	0.655814	0.664627	0.658603	0.658095	0.671251	0.64825	0.663589	0.660199	0.657525	0.659225	0.66124	0.656378	0.657988	0.657891	0.656171	0.658832	0.660717	0.653308	0.657027	0.665407	0.665703	0.669078	0.662539	0.659766	0.657927	0.662497	0.659604	0.658709	0.660147	0.658827	0.659084	0.66031	0.653666	0.657924	0.658133	0.659369	0.660374	0.662479	0.666323	0.659766	0.679263	0.660973	0.655783	0.665363	0.655923	0.658287	0.657023	0.664059	0.659259	0.662747	0.657962	0.669199	0.658146	0.65361	0.66092	0.657824	0.661891	0.656209	0.656308	0.648693	0.661825	0.65448	0.655246	0.659318	0.652983	0.656902	0.649475	0.683483	0.651522	0.655477	0.654302	0.653355	0.657603	0.656114
E2F5	0.661862	0.65852	0.643001	0.661473	0.660325	0.657906	0.673705	0.661922	0.658109	0.643141	0.669601	0.665917	0.668359	0.659738	0.655993	0.667096	0.663299	0.652712	0.654748	0.652948	0.662472	0.657527	0.6437	0.67608	0.673449	0.656983	0.665098	0.670192	0.652933	0.659096	0.650339	0.656926	0.667582	0.656559	0.659861	0.670797	0.671669	0.651638	0.64717	0.658512	0.648545	0.663743	0.653286	0.652753	0.664556	0.659991	0.662987	0.65949	0.659757	0.653595	0.669832	0.650393	0.658902	0.656904	0.653229	0.665086	0.661401	0.655859	0.64126	0.659296	0.661401	0.659223	0.668352	0.656901	0.645889	0.659644	0.659644	0.648948	0.655794	0.654469	0.671069	0.650458	0.685051	0.656348	0.658058	0.677165	0.656374	0.660013	0.658386
ARNTL	0.664895	0.660606	0.662201	0.659052	0.655466	0.656897	0.65859	0.659272	0.660771	0.650848	0.6396	0.658599	0.660603	0.65263	0.661189	0.663248	0.654511	0.665064	0.662228	0.656402	0.65735	0.661316	0.671618	0.651095	0.665482	0.642383	0.681003	0.657541	0.673998	0.660559	0.661372	0.654209	0.660944	0.65981	0.658191	0.652839	0.65586	0.65299	0.665899	0.65289	0.653912	0.659638	0.658629	0.654687	0.648879	0.6596	0.664152	0.66692	0.654913	0.66094	0.655417	0.662505	0.666808	0.658165	0.665479	0.654344	0.665036	0.661063	0.659169	0.660046	0.645618	0.659263	0.655669	0.666545	0.647386	0.660487	0.652921	0.673651	0.664389	0.660025	0.653468	0.665985	0.671895	0.659155	0.655843	0.65943	0.665314	0.665842	0.652468
GSC	0.689263	0.652627	0.663988	0.690361	0.688156	0.672947	0.693147	0.683234	0.68539	0.680877	0.590075	0.693147	0.675666	0.632976	0.68848	0.691679	0.630701	0.655922	0.641308	0.693147	0.648167	0.66919	0.592711	0.672964	0.691528	0.679462	0.690819	0.669906	0.690829	0.665424	0.693147	0.653183	0.683328	0.677845	0.631452	0.654207	0.656725	0.656695	0.690097	0.597053	0.693147	0.668968	0.664172	0.652336	0.693147	0.644579	0.693147	0.681664	0.628143	0.634693	0.634672	0.647065	0.665664	0.668607	0.66339	0.605938	0.693147	0.659462	0.693147	0.67	0.688888	0.652728	0.693147	0.631076	0.555318	0.685764	0.62678	0.652149	0.676384	0.624169	0.688888	0.685447	0.683861	0.623295	0.629114	0.688888	0.650231	0.624525	0.692275
MBD2	0.658826	0.659615	0.661444	0.659105	0.656628	0.65503	0.657997	0.657218	0.657429	0.64736	0.654059	0.661049	0.657807	0.658968	0.659693	0.660361	0.657045	0.664935	0.658287	0.660605	0.65936	0.659536	0.661515	0.654074	0.659679	0.661872	0.665305	0.658269	0.666709	0.658613	0.661435	0.650667	0.659365	0.65923	0.658221	0.656551	0.662664	0.657628	0.651211	0.654232	0.662974	0.659722	0.659221	0.66124	0.658229	0.666843	0.660095	0.660223	0.661349	0.664616	0.656259	0.647141	0.66583	0.657395	0.663659	0.659527	0.659262	0.658876	0.66077	0.661212	0.658802	0.657206	0.65848	0.6578	0.651821	0.657692	0.664544	0.661529	0.664221	0.658343	0.658709	0.657163	0.679028	0.662575	0.654296	0.659277	0.659003	0.656926	0.655508
BHLHE40	0.662471	0.657837	0.672843	0.650282	0.652219	0.675504	0.659966	0.654251	0.652343	0.660892	0.652509	0.655305	0.655136	0.659419	0.662289	0.657874	0.65226	0.671153	0.658441	0.656451	0.654359	0.657766	0.679847	0.65669	0.659452	0.643726	0.690794	0.655557	0.663052	0.655699	0.662033	0.647573	0.657269	0.654944	0.656412	0.651188	0.656714	0.673266	0.666449	0.652293	0.681919	0.655393	0.655068	0.660445	0.653931	0.648634	0.656046	0.659635	0.655395	0.675447	0.656446	0.654115	0.671937	0.65575	0.663334	0.661879	0.647977	0.6554	0.665802	0.655282	0.660145	0.65434	0.654683	0.661224	0.664091	0.648968	0.668473	0.667589	0.669254	0.658932	0.651784	0.64962	0.669251	0.659302	0.662877	0.660857	0.653168	0.66585	0.650172
MEIS2	0.665046	0.647923	0.642577	0.65748	0.663426	0.680641	0.658066	0.66068	0.665814	0.649197	0.659226	0.666941	0.663411	0.649485	0.671982	0.661654	0.651711	0.655672	0.665896	0.680582	0.658472	0.660633	0.663834	0.656704	0.673671	0.669922	0.671229	0.664825	0.668958	0.6558	0.636913	0.660356	0.656707	0.6596	0.669381	0.650655	0.658368	0.658378	0.663956	0.6765	0.656166	0.660009	0.654829	0.656191	0.660123	0.665197	0.65125	0.663229	0.651774	0.642336	0.655856	0.662796	0.671049	0.661684	0.664111	0.658833	0.654461	0.667114	0.644329	0.65884	0.652839	0.653157	0.640089	0.684848	0.672045	0.666007	0.644611	0.647551	0.657603	0.645181	0.658275	0.640064	0.67449	0.651864	0.674502	0.66688	0.649544	0.654665	0.65562
GRHL1	0.684791	0.656858	0.654559	0.654326	0.675541	0.681579	0.650116	0.643919	0.626208	0.601194	0.657306	0.658236	0.65199	0.674785	0.650744	0.640908	0.674524	0.665231	0.65695	0.675233	0.646134	0.650933	0.680149	0.68602	0.602574	0.622582	0.68279	0.647139	0.654439	0.663847	0.652592	0.659754	0.656668	0.652966	0.637587	0.681584	0.680854	0.65104	0.669498	0.667699	0.645156	0.673489	0.675914	0.679237	0.608283	0.679863	0.658673	0.673393	0.678302	0.671421	0.673737	0.668765	0.668757	0.651459	0.679353	0.676868	0.644103	0.662504	0.661409	0.652491	0.638327	0.678384	0.684332	0.645929	0.625233	0.676865	0.648323	0.679025	0.678073	0.664572	0.658792	0.671505	0.65698	0.668757	0.670007	0.683499	0.634379	0.67812	0.67933
MYCN	0.64544	0.670399	0.691609	0.674436	0.691802	0.687903	0.688621	0.684403	0.65897	0.678272	0.693147	0.655087	0.680756	0.693147	0.657702	0.678406	0.679449	0.670446	0.655492	0.693147	0.685285	0.660285	0.633028	0.692315	0.544735	0.68704	0.564977	0.684082	0.659877	0.64944	0.693147	0.683387	0.686326	0.679264	0.662463	0.692838	0.68824	0.653115	0.679089	0.674243	0.63358	0.679954	0.688173	0.68602	0.692315	0.678629	0.692315	0.665307	0.679513	0.535302	0.688559	0.666882	0.577739	0.671543	0.687263	0.6765	0.65583	0.662438	0.56085	0.686009	0.6221	0.670455	0.690333	0.682638	0.661176	0.682319	0.520937	0.68344	0.597457	0.677226	0.682904	0.690333	0.675571	0.632396	0.653825	0.68623	0.681316	0.684123	0.685288
RAX	0.678213	0.693147	0.688353	0.693147	0.693147	0.693147	0.693147	0.688662	0.693147	0.693147	0.597908	0.612852	0.691085	0.693147	0.691687	0.693147	0.689901	0.65586	0.686518	0.693147	0.675118	0.690944	0.457292	0.693147	0.689797	0.693147	0.684459	0.692237	0.690534	0.688418	0.693147	0.61237	0.692162	0.692739	0.692353	0.691321	0.693147	0.621324	0.690376	0.692828	0.693147	0.690779	0.693147	0.667458	0.590127	0.693147	0.688353	0.688992	0.687712	0.67001	0.692694	0.693147	0.669586	0.683214	0.688858	0.684433	0.693147	0.68153	0.684459	0.691993	0.688353	0.691343	0.693147	0.693147	0.68092	0.692607	0.223308	0.690392	0.69153	0.675135	0.688353	0.693147	0.693147	0.677709	0.691918	0.603838	0.690534	0.685559	0.690542
SOX5	0.679421	0.683781	0.613355	0.689271	0.678406	0.66935	0.692186	0.683546	0.665612	0.689204	0.686096	0.665699	0.674858	0.625352	0.679791	0.692188	0.642274	0.650174	0.668815	0.690607	0.669126	0.673804	0.660329	0.683353	0.69219	0.693147	0.693147	0.68174	0.621679	0.653842	0.674455	0.615197	0.671386	0.682121	0.679895	0.678737	0.661272	0.623225	0.659531	0.649469	0.587296	0.601546	0.671833	0.661195	0.693147	0.614724	0.689204	0.670485	0.645256	0.643985	0.666928	0.656514	0.65266	0.677204	0.643739	0.667504	0.661319	0.661002	0.610389	0.67924	0.585188	0.678669	0.643952	0.6717	0.603679	0.682078	0.647903	0.659275	0.654768	0.66419	0.665429	0.641764	0.693147	0.631838	0.657132	0.679996	0.687184	0.687748	0.668326
SOX3	0.679101	0.693147	0.664492	0.693147	0.662466	0.692394	0.693147	0.690886	0.630384	0.684833	0.675277	0.693147	0.692678	0.673199	0.689685	0.69204	0.580239	0.665938	0.674496	0.693147	0.688527	0.686469	0.63232	0.693147	0.691402	0.693147	0.693147	0.689559	0.693147	0.681245	0.693147	0.693147	0.692206	0.693147	0.656305	0.693147	0.676927	0.634736	0.691667	0.692091	0.67242	0.691314	0.693147	0.665188	0.693147	0.693147	0.693147	0.692496	0.662902	0.688386	0.687987	0.693147	0.510354	0.671968	0.679892	0.666233	0.693147	0.662977	0.298308	0.6894	0.693147	0.683759	0.693147	0.69024	0.688562	0.679917	0.693147	0.689523	0.622603	0.668489	0.667041	0.693147	0.693147	0.482995	0.691324	0.690649	0.693147	0.659117	0.629435
CLOCK	0.667886	0.660117	0.653928	0.658738	0.656915	0.663748	0.660146	0.657391	0.654556	0.655167	0.659282	0.662212	0.66055	0.646928	0.65591	0.657263	0.652871	0.661449	0.658608	0.668107	0.659258	0.657526	0.659677	0.656694	0.670776	0.654686	0.672553	0.662592	0.669206	0.660224	0.659801	0.662953	0.658012	0.660554	0.656562	0.648695	0.657927	0.6531	0.666729	0.66459	0.647311	0.657289	0.655991	0.660338	0.65952	0.66624	0.66273	0.664126	0.657162	0.661274	0.652589	0.668237	0.66761	0.655613	0.660534	0.652709	0.652658	0.659357	0.658157	0.656949	0.656916	0.654456	0.660146	0.654588	0.652226	0.658124	0.658955	0.654837	0.66082	0.655171	0.660088	0.65652	0.679571	0.659324	0.666427	0.664171	0.653845	0.655861	0.658536
DZIP1	0.669409	0.665038	0.64306	0.686086	0.660395	0.684812	0.666818	0.660748	0.683961	0.665695	0.644659	0.660063	0.667734	0.644849	0.688678	0.672614	0.646001	0.649198	0.662168	0.645647	0.652232	0.679795	0.651138	0.648033	0.679305	0.659644	0.643296	0.658628	0.651647	0.663556	0.693147	0.682951	0.677122	0.672748	0.670423	0.646686	0.653237	0.650313	0.687613	0.671781	0.653702	0.656439	0.643633	0.652449	0.653729	0.689904	0.656814	0.668969	0.651251	0.641505	0.643346	0.672018	0.651328	0.664255	0.657685	0.647616	0.693147	0.654971	0.650006	0.680454	0.685763	0.651038	0.66322	0.674989	0.641249	0.652639	0.642198	0.635556	0.645815	0.642506	0.654319	0.635219	0.667911	0.64631	0.684149	0.650003	0.645771	0.643385	0.647574
ETS1	0.664438	0.663977	0.690846	0.653	0.64777	0.653999	0.659725	0.652404	0.677528	0.640914	0.626193	0.663489	0.666379	0.658267	0.672677	0.657226	0.648776	0.67107	0.657994	0.657146	0.662887	0.662649	0.684947	0.643786	0.692699	0.665536	0.684796	0.658872	0.681675	0.659599	0.672983	0.648731	0.65222	0.656637	0.671002	0.64421	0.650511	0.660541	0.649905	0.645626	0.666373	0.648642	0.647953	0.650227	0.666694	0.648738	0.687062	0.673607	0.649393	0.66494	0.651227	0.646626	0.670029	0.65781	0.648459	0.651175	0.658926	0.659132	0.660003	0.65375	0.68219	0.648334	0.649925	0.679323	0.665536	0.651513	0.676367	0.6709	0.661871	0.658225	0.647273	0.679537	0.672103	0.659651	0.642211	0.640664	0.649612	0.648329	0.651778
HNF1A	0.687864	0.563821	0.690944	0.596717	0.640422	0.686079	0.691957	0.667291	0.682125	0.685853	0.687434	0.691759	0.690119	0.693147	0.537474	0.690575	0.687484	0.691204	0.633689	0.649176	0.670087	0.574318	0.686268	0.689115	0.692319	0.684348	0.693147	0.687103	0.452217	0.553853	0.690944	0.683376	0.646502	0.615772	0.677724	0.689753	0.692868	0.646634	0.683898	0.687252	0.67173	0.689475	0.690959	0.692319	0.689115	0.693147	0.677603	0.686992	0.682492	0.681931	0.690048	0.68944	0.685374	0.657298	0.689495	0.683864	0.542701	0.655287	0.690944	0.629284	0.690944	0.680062	0.670633	0.606823	0.693147	0.617274	0.679349	0.674428	0.689779	0.683673	0.690944	0.677603	0.693147	0.690206	0.671855	0.683662	0.690008	0.685793	0.689201
TBX3	0.68184	0.674467	0.667096	0.666912	0.654902	0.691934	0.654104	0.652551	0.645975	0.656481	0.631882	0.665661	0.663081	0.642413	0.64283	0.666238	0.649917	0.670681	0.669423	0.69075	0.663441	0.651591	0.654704	0.647526	0.657342	0.661872	0.693147	0.667611	0.625734	0.650671	0.693147	0.665736	0.677179	0.669731	0.650615	0.631231	0.647216	0.650575	0.687408	0.684026	0.623844	0.650171	0.652045	0.663648	0.665992	0.653448	0.692123	0.686829	0.643661	0.63075	0.649456	0.692047	0.681117	0.669584	0.674937	0.643546	0.626253	0.673479	0.693147	0.679919	0.663222	0.658035	0.627664	0.618283	0.633114	0.668093	0.690012	0.686362	0.672147	0.660879	0.638226	0.680744	0.686157	0.647219	0.686125	0.635047	0.634522	0.660797	0.643503
TRAFD1	0.659357	0.660655	0.665175	0.6563	0.659435	0.656474	0.656435	0.656797	0.65619	0.658729	0.659897	0.660746	0.657353	0.662251	0.661464	0.654238	0.657664	0.660857	0.659498	0.66127	0.658216	0.661274	0.656923	0.661532	0.661792	0.660667	0.666347	0.657794	0.662214	0.659087	0.657237	0.653876	0.661318	0.660824	0.659584	0.657244	0.659171	0.655548	0.658261	0.65945	0.657884	0.660803	0.660537	0.659365	0.655736	0.65822	0.656622	0.658079	0.654455	0.657354	0.658192	0.658221	0.663005	0.65938	0.662558	0.659189	0.657739	0.66013	0.657033	0.65977	0.662807	0.65673	0.658885	0.657469	0.655352	0.660855	0.659521	0.657987	0.658627	0.65687	0.661515	0.659951	0.671358	0.654714	0.657822	0.663099	0.655849	0.658591	0.6619
DMTF1	0.658151	0.657494	0.657115	0.66363	0.660901	0.656785	0.66349	0.659203	0.660354	0.655499	0.654223	0.661047	0.660329	0.65829	0.660874	0.663707	0.656681	0.65967	0.658523	0.658387	0.658165	0.660494	0.655752	0.658807	0.663299	0.660967	0.655986	0.662674	0.662011	0.657544	0.660523	0.656604	0.663486	0.663386	0.660138	0.65866	0.665814	0.653785	0.655588	0.656341	0.652511	0.658983	0.660612	0.658666	0.662432	0.6656	0.658578	0.65798	0.663032	0.656395	0.658748	0.656757	0.657973	0.658094	0.661371	0.659522	0.661961	0.660021	0.65675	0.660736	0.6536	0.661536	0.662775	0.659483	0.652787	0.657996	0.658194	0.656176	0.658326	0.653645	0.659057	0.654865	0.66858	0.659183	0.655504	0.66304	0.659382	0.658722	0.659914
PHF21A	0.65523	0.656377	0.654073	0.66542	0.656663	0.6562	0.66802	0.662679	0.661142	0.667812	0.65344	0.662996	0.662769	0.653305	0.664829	0.664897	0.657847	0.657756	0.661111	0.662338	0.660335	0.662028	0.653234	0.662092	0.675608	0.661583	0.660627	0.664186	0.667472	0.659763	0.661452	0.653362	0.664444	0.663757	0.660801	0.653513	0.662132	0.650194	0.653777	0.65606	0.652239	0.661313	0.658853	0.657472	0.67315	0.662232	0.660204	0.654551	0.657401	0.651409	0.659438	0.654716	0.653667	0.660252	0.660945	0.657812	0.675418	0.660383	0.651404	0.6629	0.649236	0.660877	0.650031	0.657594	0.649798	0.659961	0.655478	0.653109	0.657941	0.652571	0.657292	0.650055	0.674672	0.657563	0.653937	0.661959	0.664551	0.65656	0.661513
EHF	0.689696	0.622828	0.691968	0.619026	0.66745	0.690917	0.618482	0.638345	0.61649	0.615329	0.68576	0.659143	0.653995	0.68521	0.618242	0.618934	0.680773	0.685364	0.653893	0.693147	0.641073	0.625827	0.691429	0.690394	0.69188	0.645156	0.611885	0.627467	0.689687	0.664427	0.612059	0.678945	0.628474	0.626439	0.635941	0.680598	0.677931	0.664197	0.684405	0.674779	0.684356	0.674359	0.673639	0.685445	0.605367	0.686185	0.690394	0.689172	0.671173	0.690439	0.673945	0.668927	0.693147	0.646913	0.692357	0.685626	0.618367	0.650607	0.68955	0.615656	0.606075	0.68836	0.671053	0.611233	0.634553	0.68297	0.691498	0.690937	0.689983	0.67776	0.686401	0.690394	0.637258	0.691343	0.687895	0.681906	0.646529	0.675346	0.683653
ELF5	0.690626	0.693147	0.693147	0.524006	0.689889	0.692191	0.689459	0.635256	0.624879	0.427157	0.693147	0.686862	0.687687	0.684748	0.660614	0.679911	0.681406	0.691719	0.662445	0.693147	0.659545	0.619882	0.692022	0.686453	0.648423	0.693147	0.659991	0.674726	0.666257	0.678971	0.532726	0.689837	0.661942	0.642648	0.585163	0.69058	0.684434	0.678676	0.690785	0.691034	0.682461	0.687025	0.68542	0.69058	0.455245	0.693147	0.69113	0.69207	0.691159	0.69198	0.688938	0.69239	0.693147	0.657972	0.693147	0.688789	0.693147	0.681616	0.69113	0.629554	0.678855	0.691584	0.683741	0.575868	0.693147	0.685508	0.693147	0.690004	0.692124	0.6833	0.680022	0.689451	0.685069	0.690184	0.690297	0.692058	0.656781	0.68488	0.692742
TFCP2	0.655767	0.6554	0.653375	0.66154	0.666449	0.65712	0.659449	0.657698	0.672097	0.66384	0.654622	0.658775	0.660175	0.657645	0.657147	0.66684	0.659151	0.662237	0.662126	0.659632	0.657213	0.658848	0.653142	0.657198	0.656406	0.658402	0.660851	0.661732	0.658615	0.661381	0.662716	0.66947	0.659736	0.660704	0.66309	0.656234	0.662178	0.654882	0.66315	0.661975	0.65369	0.659707	0.658332	0.658595	0.660168	0.657378	0.658675	0.660269	0.65639	0.655133	0.659325	0.658384	0.654765	0.657268	0.664528	0.658414	0.651248	0.660638	0.653002	0.658927	0.65397	0.659494	0.656188	0.666131	0.659391	0.661432	0.655561	0.654381	0.658404	0.654166	0.663751	0.652777	0.67504	0.65483	0.659213	0.657705	0.656843	0.661602	0.661877
HEY2	0.680205	0.648014	0.673565	0.690658	0.688281	0.634994	0.680631	0.672281	0.653773	0.622403	0.558145	0.642278	0.673826	0.660704	0.670512	0.673779	0.666834	0.654298	0.651506	0.693147	0.665939	0.66952	0.685371	0.660537	0.691785	0.680983	0.690634	0.675326	0.6826	0.655697	0.691781	0.650386	0.669769	0.66541	0.628778	0.689597	0.679327	0.60918	0.631254	0.658573	0.688573	0.622492	0.682565	0.666999	0.674183	0.629379	0.683304	0.672897	0.667463	0.684431	0.677017	0.657614	0.595504	0.669493	0.670285	0.629564	0.663796	0.648884	0.644603	0.680194	0.676097	0.678459	0.687617	0.689411	0.583486	0.673424	0.676815	0.669811	0.668889	0.602794	0.687617	0.612356	0.690634	0.642914	0.669696	0.641959	0.667651	0.66838	0.681525
EGR4	0.665005	0.693147	0.47191	0.64447	0.682556	0.685296	0.672365	0.665872	0.673076	0.667061	0.693147	0.681613	0.646312	0.644517	0.656768	0.674892	0.684663	0.67567	0.656701	0.693147	0.638791	0.63455	0.570385	0.693147	0.693147	0.693147	0.693147	0.675152	0.681231	0.662962	0.550116	0.66881	0.671829	0.648143	0.654346	0.689032	0.686962	0.639763	0.657713	0.661376	0.598997	0.682274	0.689948	0.688996	0.667061	0.662613	0.676909	0.681623	0.682398	0.64	0.685411	0.653382	0.680732	0.654933	0.675626	0.690321	0.693147	0.670434	0.67964	0.633777	0.596863	0.69048	0.630603	0.689017	0.6718	0.686028	0.676959	0.65288	0.673146	0.67762	0.693147	0.630603	0.688996	0.689754	0.677367	0.687292	0.621117	0.679188	0.655549
EMX1	0.67805	0.667112	0.565614	0.687984	0.692231	0.663383	0.692231	0.668464	0.645948	0.618006	0.693147	0.6452	0.68394	0.670989	0.646046	0.67816	0.67917	0.677445	0.645918	0.685175	0.646555	0.629043	0.671604	0.693147	0.647332	0.65668	0.693147	0.66989	0.616286	0.624809	0.687482	0.600951	0.66193	0.658411	0.660784	0.69004	0.690892	0.597155	0.66421	0.66474	0.65332	0.687952	0.686368	0.679498	0.677264	0.638389	0.682006	0.677713	0.681532	0.690727	0.688819	0.663709	0.674457	0.665589	0.691621	0.676073	0.659663	0.662714	0.693147	0.669389	0.67466	0.662408	0.690026	0.662959	0.530991	0.630779	0.56947	0.651359	0.685	0.638625	0.690026	0.66765	0.654415	0.662686	0.651012	0.687535	0.686889	0.683254	0.680938
SP110	0.653699	0.655756	0.658988	0.651776	0.656623	0.648856	0.654589	0.656981	0.652778	0.6613	0.680513	0.668954	0.661739	0.655923	0.66442	0.658004	0.653783	0.664957	0.664128	0.652602	0.661423	0.660968	0.658263	0.652896	0.676638	0.644852	0.667757	0.652762	0.676033	0.658238	0.653191	0.644885	0.658581	0.655163	0.660165	0.656728	0.656359	0.676703	0.652715	0.646269	0.661171	0.653824	0.650142	0.656354	0.655834	0.657103	0.649166	0.653567	0.656591	0.67496	0.655104	0.64837	0.671824	0.659486	0.65866	0.657698	0.668101	0.659696	0.663531	0.657994	0.675714	0.652259	0.654298	0.668737	0.657058	0.654892	0.693147	0.663593	0.664759	0.659629	0.660306	0.67452	0.669389	0.655004	0.649295	0.658567	0.655987	0.657361	0.656073
