	AASTR	ABC	ACC	ACRM	ALCLALKN	ALCLALKP	AM	AMKL	AML	AMLGATA2MECOM	AMOL	AMPCA	ARMS	ASTR	ATLL	ATRT	BL	BLCA	BLL	BLLBCRABL1	BLLBCRABL1L	BLLETV6RUNX1	BLLHYPO	BLLKMT2A	BLLTCF3PBX1	BLSC	BNNOS	BPLL	BRCA	BRCNOS	BTMOV	CCOV	CCRCC	CDS	CEAD	CEGCC	CELNOS	CESC	CHOL	CHS	CLLSLL	CMLBCRABL1	COAD	COADREAD	CSCC	DA	DCIS	DDCHS	DDLS	DLBCLNOS	DSTAD	ECAD	EHCH	EMBCA	EMCHS	EOV	EPIS	ERMS	ERT	ES	ESCA	ESCC	ESS	ETPLL	FIBS	FTCL	GB	GBAD	GBC	GCB	GCLC	GEJ	GSARC	HCC	HCCIHCH	HGSOC	HL	HNSC	HPHSC	HSTCL	IDC	IHCH	ILC	LCLC	LIHB	LIPO	LMS	LUAD	LUAS	LUCA	LUMEC	LUSC	LXSC	MACR	MBL	MBN	MCC	MCCE	MCL	MDS	MEL	MFH	MLADS	MNG	MOV	MPNST	MRC	MRT	MSTAD	MTNN	MXOV	MYCF	NBL	NKCLL	NMCHN	NSCLC	NSCLCPD	NUTCL	OCSC	ODG	OMGCT	OOVC	OPHSC	OS	PAAD	PAASC	PANET	PCM	PEL	PLBMESO	PLEMESO	PLSMESO	PNET	PRAD	PRCC	PRSCC	RBL	RCC	READ	RMS	SARCNOS	SCCO	SCLC	SKCM	SMARCA4-UT	SMZL	SNSC	SOC	SS	SSRCC	STAD	STAS	STSC	SYNS	THAP	THFO	THME	THPA	THPD	TLL	TSTAD	TT	UASC	UCCA	UCCC	UCEC	UCS	UCU	ULMS	UM	USARC	VMM	VSC	WDLS	ZFIB	ZFIBBON	ZFIBBRE	ZFIBCOL	ZFIBLUN	ZFIBLYM	ZFIBSKI	ZFIBSOF	ZFIBUPA	ZFIBURT	ZHYPP	ZIMMBR	ZIMMEKC	ZIMMEPCNS	ZIMMEPCP	ZIMMEPCRT	ZIMMLUNG	ZIMMOV
NFKB2	0.678371	0.672165	0.672183	0.680463	0.67092	0.674255	0.681433	0.67793	0.679635	0.676505	0.678941	0.676062	0.679927	0.678156	0.678628	0.679718	0.675537	0.676081	0.6738	0.681381	0.680377	0.680386	0.679721	0.678884	0.679477	0.679134	0.68043	0.667344	0.677383	0.673627	0.675303	0.673522	0.674802	0.678252	0.675135	0.675813	0.681779	0.676884	0.679865	0.679319	0.669375	0.677355	0.678005	0.682367	0.678681	0.676695	0.677523	0.675357	0.678017	0.675537	0.677589	0.679093	0.676807	0.677282	0.676571	0.676994	0.675876	0.678472	0.677318	0.681391	0.676761	0.678193	0.673435	0.676743	0.679744	0.671195	0.677865	0.677831	0.671632	0.671916	0.673005	0.680581	0.678446	0.676157	0.676161	0.67615	0.669223	0.677134	0.676598	0.672392	0.677697	0.676871	0.678082	0.676581	0.678823	0.675883	0.677532	0.675703	0.672718	0.682791	0.671655	0.677214	0.675882	0.678875	0.67863	0.672022	0.675909	0.678643	0.670044	0.676097	0.6776	0.67783	0.67637	0.676467	0.675907	0.678127	0.680658	0.678217	0.676466	0.669916	0.679308	0.669859	0.682982	0.67671	0.68787	0.675738	0.671181	0.685033	0.676623	0.675392	0.679226	0.685693	0.679219	0.679662	0.676012	0.67305	0.681642	0.673178	0.680444	0.675417	0.675112	0.677294	0.67997	0.678368	0.674265	0.68176	0.682689	0.675059	0.679249	0.676203	0.675315	0.67719	0.682526	0.678688	0.676807	0.672349	0.683894	0.67528	0.6669	0.67895	0.67722	0.676737	0.67908	0.678346	0.675765	0.676908	0.680138	0.672097	0.672733	0.676942	0.673222	0.676499	0.673545	0.679696	0.673831	0.674998	0.676946	0.675125	0.675791	0.678577	0.674407	0.679198	0.678549	0.675765	0.676098	0.677954	0.677087	0.677808	0.678424	0.679276	0.678618	0.679298	0.676332	0.678106	0.674573	0.6755	0.674651	0.674388	0.674904	0.676881	0.67451	0.677046
HOXA9	0.660479	0.69111	0.690651	0.690528	0.679282	0.685635	0.693147	0.691558	0.663962	0.648177	0.661201	0.683146	0.684965	0.68378	0.690011	0.692795	0.691563	0.666951	0.691544	0.688838	0.692512	0.660668	0.692196	0.650934	0.692188	0.657166	0.693147	0.692421	0.682851	0.674507	0.673703	0.676653	0.657292	0.690772	0.666589	0.655086	0.652649	0.664245	0.691408	0.656388	0.692106	0.676514	0.660037	0.685013	0.672566	0.691542	0.682335	0.645014	0.665411	0.686302	0.680287	0.672915	0.684417	0.692759	0.673053	0.672186	0.653477	0.671133	0.676247	0.686667	0.676377	0.670669	0.652461	0.640033	0.659465	0.692112	0.685392	0.687117	0.679918	0.693003	0.692332	0.677765	0.689156	0.685292	0.690187	0.674527	0.687876	0.688591	0.670567	0.689032	0.684821	0.685953	0.689677	0.676753	0.676352	0.66996	0.669932	0.682823	0.683499	0.674075	0.671124	0.681538	0.668865	0.650995	0.685649	0.685195	0.672257	0.660572	0.689044	0.692264	0.689143	0.691229	0.690192	0.690344	0.676118	0.6712	0.67606	0.6761	0.69102	0.690891	0.69102	0.692112	0.689602	0.679042	0.689032	0.678009	0.666064	0.672227	0.680283	0.676462	0.691408	0.686647	0.676896	0.665848	0.682743	0.685708	0.660336	0.689546	0.692755	0.681652	0.687023	0.689537	0.691364	0.671513	0.652109	0.648151	0.692846	0.661802	0.662251	0.690075	0.686353	0.684605	0.665606	0.689564	0.665148	0.693147	0.681669	0.682748	0.668607	0.680947	0.677611	0.690533	0.646698	0.677971	0.687476	0.686079	0.69102	0.689748	0.692755	0.691394	0.678177	0.692937	0.668384	0.691709	0.644086	0.672208	0.658785	0.678654	0.691542	0.69166	0.691542	0.693147	0.673117	0.678495	0.657723	0.663467	0.662053	0.669852	0.688897	0.67586	0.669598	0.690573	0.692421	0.65909	0.653238	0.657651	0.653187	0.692112	0.660909	0.693147	0.693147	0.666533
TP73	0.691707	0.686136	0.676183	0.691483	0.662919	0.672055	0.660818	0.689317	0.681078	0.667369	0.669975	0.677033	0.664743	0.672555	0.686443	0.676252	0.681222	0.673318	0.668651	0.692504	0.692802	0.692227	0.668412	0.67486	0.692577	0.681678	0.668877	0.65006	0.673327	0.682629	0.68911	0.684486	0.684916	0.663689	0.668952	0.67439	0.657732	0.67094	0.682391	0.68911	0.666164	0.682328	0.672283	0.688366	0.668357	0.665401	0.67186	0.67202	0.686859	0.675854	0.674119	0.669071	0.676378	0.688474	0.691461	0.677325	0.682163	0.674195	0.680115	0.671108	0.679274	0.666324	0.676708	0.691961	0.690989	0.642167	0.678023	0.680918	0.68046	0.670575	0.672387	0.677254	0.691606	0.677361	0.667064	0.679817	0.666203	0.6782	0.673429	0.650372	0.675516	0.680751	0.677195	0.669914	0.674261	0.68888	0.685138	0.676545	0.670498	0.671074	0.679308	0.674017	0.666237	0.684566	0.673131	0.671728	0.672036	0.662951	0.664494	0.689304	0.683832	0.686737	0.690037	0.692366	0.669065	0.683371	0.687496	0.686866	0.692504	0.657482	0.685619	0.646838	0.680699	0.672905	0.6815	0.673868	0.691222	0.67611	0.670048	0.683438	0.690763	0.673036	0.678677	0.680912	0.675457	0.667178	0.662868	0.680828	0.639212	0.691315	0.686256	0.667879	0.688112	0.678933	0.672834	0.639483	0.647954	0.685615	0.677425	0.656792	0.692504	0.685175	0.649487	0.681243	0.654676	0.670994	0.68684	0.687914	0.691461	0.691963	0.679687	0.670823	0.667715	0.676339	0.684865	0.681084	0.688187	0.68097	0.690325	0.680193	0.668403	0.688732	0.658522	0.685677	0.672919	0.67309	0.682788	0.674786	0.678311	0.687974	0.690325	0.691461	0.680764	0.680785	0.67439	0.692179	0.692139	0.69241	0.692055	0.692412	0.692003	0.691354	0.693147	0.692226	0.673513	0.673154	0.688358	0.692504	0.684459	0.69302	0.674985	0.691461
SP140	0.681791	0.637792	0.689661	0.687995	0.642413	0.635691	0.69162	0.681067	0.68108	0.680471	0.667061	0.681051	0.684403	0.676573	0.668002	0.690684	0.652494	0.680091	0.655651	0.661275	0.661844	0.685279	0.680758	0.679858	0.678801	0.682778	0.692835	0.638749	0.683902	0.678179	0.680896	0.681474	0.667321	0.69162	0.692446	0.691192	0.684124	0.68685	0.689485	0.645252	0.639679	0.679344	0.684882	0.693147	0.689636	0.693147	0.687121	0.66989	0.683155	0.651811	0.687812	0.690214	0.687696	0.689954	0.691403	0.688681	0.69162	0.679784	0.690367	0.6895	0.68494	0.682973	0.684694	0.677046	0.662418	0.638772	0.677787	0.678746	0.681335	0.657049	0.678516	0.678464	0.666724	0.672256	0.685789	0.683291	0.641182	0.679341	0.678949	0.646856	0.688144	0.6829	0.688509	0.682701	0.688253	0.679733	0.677567	0.680073	0.676264	0.672939	0.673505	0.681819	0.683375	0.68482	0.687205	0.646898	0.681198	0.669089	0.647211	0.670443	0.680975	0.669314	0.67948	0.677282	0.681351	0.678827	0.689661	0.685841	0.686047	0.639752	0.680983	0.665928	0.688038	0.644197	0.692835	0.682401	0.682263	0.690022	0.68038	0.673892	0.690022	0.689661	0.681425	0.679984	0.6801	0.6789	0.685917	0.662987	0.687276	0.68402	0.678948	0.674613	0.68985	0.689197	0.670166	0.675317	0.693147	0.673184	0.687286	0.691403	0.66646	0.689718	0.688196	0.68029	0.689274	0.641817	0.690207	0.685309	0.640469	0.685475	0.683933	0.686578	0.690843	0.683862	0.675512	0.677044	0.68107	0.683057	0.6789	0.671233	0.678933	0.687865	0.684429	0.690715	0.672531	0.682034	0.677141	0.685089	0.687384	0.690591	0.685663	0.689485	0.690785	0.680774	0.682457	0.681659	0.688023	0.684	0.680369	0.685537	0.682715	0.675111	0.678322	0.672442	0.672266	0.681698	0.670237	0.65526	0.685472	0.663782	0.672531	0.683057
CIC	0.674755	0.673882	0.67808	0.678526	0.67922	0.67424	0.6746	0.674064	0.676616	0.673914	0.677064	0.678086	0.677713	0.67464	0.674878	0.676783	0.676099	0.677039	0.677524	0.673824	0.673017	0.67603	0.674838	0.675967	0.674263	0.67927	0.680038	0.676579	0.67765	0.674842	0.675272	0.678572	0.677109	0.668227	0.677493	0.679671	0.673174	0.676834	0.682424	0.674632	0.679602	0.67601	0.678159	0.683785	0.679438	0.675233	0.677498	0.673092	0.678278	0.67563	0.677699	0.677861	0.67808	0.681557	0.675043	0.674867	0.677604	0.676421	0.675227	0.674796	0.679031	0.677216	0.675122	0.673338	0.676832	0.682101	0.675341	0.676634	0.678613	0.679182	0.675676	0.683337	0.672008	0.674927	0.67852	0.676018	0.675472	0.677125	0.677795	0.678752	0.67694	0.678829	0.678373	0.676166	0.678189	0.680668	0.677295	0.676692	0.674694	0.679685	0.677595	0.676377	0.677535	0.680245	0.6781	0.675489	0.679167	0.679731	0.676462	0.675909	0.677007	0.675098	0.677518	0.678089	0.676687	0.67717	0.678591	0.674958	0.675182	0.677182	0.67623	0.675612	0.676065	0.67859	0.680083	0.676125	0.676174	0.678649	0.678758	0.675029	0.677747	0.677876	0.680272	0.67655	0.678308	0.67613	0.677463	0.676186	0.677102	0.678672	0.677075	0.676507	0.675925	0.678721	0.675565	0.675041	0.677728	0.676685	0.680551	0.673521	0.674472	0.67448	0.673807	0.676565	0.673078	0.67674	0.680592	0.677718	0.67549	0.676785	0.677117	0.677578	0.672438	0.676353	0.677601	0.675282	0.674189	0.678289	0.675654	0.6755	0.676147	0.682	0.674739	0.680172	0.678548	0.676361	0.677915	0.67574	0.677087	0.679068	0.675579	0.679182	0.685777	0.675803	0.673788	0.675605	0.67644	0.676635	0.676517	0.675588	0.676391	0.677031	0.675762	0.680459	0.678213	0.674588	0.675772	0.674865	0.678246	0.676771	0.675841	0.675663
RFX3	0.678268	0.674408	0.673925	0.676422	0.674294	0.674073	0.67766	0.672401	0.676087	0.665152	0.675905	0.676871	0.674812	0.676303	0.673577	0.671524	0.67234	0.678122	0.671114	0.670851	0.671645	0.670864	0.670412	0.677413	0.671926	0.683224	0.660563	0.665198	0.681573	0.677288	0.688163	0.680837	0.683024	0.678165	0.683363	0.67488	0.678011	0.681383	0.680706	0.679249	0.67302	0.674586	0.676749	0.679079	0.681948	0.669579	0.679705	0.675969	0.682007	0.671288	0.681854	0.673184	0.681914	0.671304	0.663255	0.674309	0.682083	0.679441	0.671177	0.675459	0.677305	0.677756	0.673079	0.667436	0.679714	0.688551	0.678152	0.679658	0.680968	0.672797	0.678997	0.672416	0.679787	0.680549	0.681582	0.676683	0.67034	0.680164	0.683571	0.667246	0.680297	0.679562	0.681363	0.675715	0.68173	0.687779	0.677158	0.679855	0.67997	0.677082	0.682305	0.678387	0.681795	0.672508	0.666166	0.67389	0.674206	0.682999	0.672621	0.670851	0.677858	0.679306	0.672876	0.678061	0.679159	0.678086	0.673376	0.671834	0.686963	0.674056	0.684083	0.670134	0.669203	0.681828	0.670234	0.680337	0.665152	0.678011	0.68175	0.677074	0.669439	0.677809	0.684994	0.680514	0.679322	0.6779	0.669301	0.676473	0.678857	0.677672	0.681182	0.683078	0.678767	0.672553	0.679705	0.669416	0.667533	0.679619	0.677457	0.667134	0.676897	0.668689	0.662465	0.68075	0.672549	0.672359	0.674282	0.680974	0.671849	0.681853	0.677069	0.681237	0.663219	0.679439	0.675539	0.681165	0.668049	0.672695	0.682763	0.672674	0.677566	0.679079	0.67686	0.679178	0.677759	0.675384	0.680626	0.678401	0.683881	0.678055	0.678694	0.68462	0.689233	0.687052	0.683569	0.684955	0.684938	0.684964	0.684555	0.682017	0.686257	0.684985	0.68462	0.680577	0.676759	0.677415	0.677267	0.679421	0.684144	0.678289	0.678062	0.676989
SRCAP	0.675001	0.671568	0.680284	0.680333	0.681514	0.676842	0.677076	0.67225	0.676058	0.66845	0.676186	0.677155	0.677277	0.674943	0.675804	0.681941	0.67508	0.675085	0.67747	0.669813	0.670712	0.676034	0.673815	0.675057	0.670505	0.679903	0.680572	0.673758	0.677372	0.673999	0.673965	0.681717	0.678989	0.670385	0.682182	0.679414	0.673293	0.681878	0.683904	0.673162	0.683036	0.67574	0.676052	0.687986	0.679103	0.672084	0.67532	0.674041	0.679634	0.675176	0.677007	0.679631	0.679701	0.680492	0.681034	0.674294	0.68497	0.67692	0.675146	0.674155	0.681522	0.675795	0.673864	0.667455	0.673084	0.68527	0.676392	0.679863	0.685806	0.682931	0.6737	0.685373	0.674979	0.675102	0.678226	0.676672	0.673586	0.678572	0.676321	0.678042	0.675975	0.68113	0.680114	0.673287	0.675252	0.687225	0.676749	0.675825	0.673844	0.672306	0.67533	0.675551	0.675267	0.679077	0.676946	0.678611	0.680656	0.678793	0.673279	0.678219	0.676942	0.679572	0.674513	0.678011	0.674483	0.677453	0.680371	0.676111	0.677082	0.673762	0.674923	0.672489	0.676293	0.684476	0.686123	0.677196	0.678144	0.674997	0.681181	0.673297	0.677394	0.677746	0.679179	0.678091	0.677949	0.674379	0.675742	0.673431	0.673041	0.676453	0.677831	0.673449	0.682841	0.675011	0.674074	0.670228	0.677708	0.677802	0.680052	0.671568	0.676897	0.675272	0.671701	0.676552	0.672489	0.681854	0.675578	0.67969	0.669788	0.675178	0.677113	0.672984	0.671145	0.67962	0.677177	0.676952	0.669371	0.680515	0.67526	0.673142	0.673382	0.689049	0.67093	0.680988	0.673216	0.676566	0.680591	0.67539	0.68012	0.680985	0.67485	0.684089	0.69205	0.679184	0.672279	0.674731	0.675459	0.674712	0.676207	0.673683	0.675176	0.674721	0.674522	0.677949	0.68084	0.67678	0.677169	0.673464	0.682239	0.680395	0.678534	0.678137
TCF7	0.664737	0.677997	0.67853	0.676253	0.689555	0.691158	0.689672	0.690509	0.688587	0.687586	0.682779	0.671136	0.685489	0.670788	0.653011	0.681263	0.684548	0.678976	0.668084	0.681067	0.675619	0.691295	0.676339	0.669614	0.681089	0.683484	0.687039	0.660854	0.682082	0.671955	0.682135	0.685842	0.676751	0.6648	0.674953	0.671892	0.689268	0.681273	0.684599	0.672873	0.663723	0.68236	0.668305	0.671503	0.686249	0.666847	0.683963	0.671877	0.667221	0.684034	0.673697	0.677074	0.672502	0.675163	0.686696	0.673588	0.676421	0.683599	0.68282	0.684555	0.673148	0.680176	0.679341	0.69065	0.689672	0.692674	0.671042	0.673385	0.681801	0.664641	0.675304	0.668314	0.668046	0.673954	0.67126	0.677704	0.67235	0.676611	0.680684	0.687039	0.67763	0.681112	0.687751	0.67815	0.66898	0.677752	0.676637	0.678934	0.674563	0.686155	0.682073	0.67834	0.679225	0.671299	0.678434	0.689638	0.675111	0.674547	0.670165	0.679943	0.678202	0.674749	0.687461	0.681714	0.676782	0.676327	0.678725	0.682059	0.669302	0.672956	0.66891	0.678029	0.677385	0.690511	0.680275	0.679451	0.671337	0.67992	0.68031	0.6706	0.672672	0.661754	0.67482	0.668496	0.676612	0.685068	0.687277	0.684352	0.692277	0.677964	0.684106	0.677086	0.67148	0.683448	0.68041	0.675785	0.671119	0.678935	0.669994	0.674188	0.663496	0.680642	0.676636	0.678486	0.673339	0.674952	0.675959	0.675364	0.656072	0.665057	0.674428	0.669006	0.673942	0.671233	0.675187	0.678507	0.682043	0.692971	0.673106	0.654858	0.670737	0.672545	0.673509	0.682748	0.681425	0.675895	0.678007	0.681302	0.675149	0.676906	0.687586	0.680854	0.684023	0.670901	0.66782	0.672265	0.676929	0.678679	0.677144	0.668335	0.669725	0.668522	0.678083	0.680802	0.679737	0.680699	0.677566	0.681568	0.677972	0.672322	0.679514	0.678607
MEF2C	0.677498	0.661802	0.691172	0.667727	0.675137	0.681076	0.657649	0.655423	0.661545	0.649674	0.665206	0.683103	0.666347	0.67257	0.690443	0.686422	0.658706	0.684737	0.659976	0.646394	0.642278	0.645134	0.645199	0.643809	0.642235	0.688187	0.657539	0.65001	0.687316	0.683592	0.690566	0.687308	0.683811	0.673183	0.693037	0.693147	0.67323	0.6907	0.681558	0.677924	0.656058	0.662308	0.680055	0.680693	0.69073	0.686951	0.68433	0.67225	0.669796	0.660447	0.689528	0.686881	0.68921	0.686992	0.693147	0.672476	0.691172	0.671452	0.687083	0.682424	0.6833	0.684098	0.675742	0.672696	0.681233	0.67277	0.672843	0.683266	0.675129	0.660698	0.685627	0.689379	0.663792	0.67963	0.69294	0.680809	0.658234	0.681591	0.68353	0.676087	0.683411	0.68114	0.69036	0.676498	0.692275	0.678545	0.68309	0.681052	0.676132	0.688522	0.690923	0.679669	0.678527	0.690908	0.677264	0.662446	0.681149	0.69294	0.660873	0.655351	0.667073	0.682232	0.6503	0.678599	0.68504	0.66998	0.6913	0.689983	0.692431	0.663955	0.681076	0.653606	0.686222	0.677467	0.692431	0.681729	0.691837	0.69276	0.689221	0.675715	0.675636	0.692275	0.680009	0.666945	0.681088	0.680308	0.678783	0.652032	0.670222	0.687369	0.685951	0.679603	0.669652	0.683738	0.68208	0.671734	0.690659	0.682396	0.682174	0.684291	0.677602	0.675499	0.679808	0.664056	0.679568	0.657327	0.692125	0.684126	0.661257	0.682471	0.685928	0.683384	0.689286	0.666235	0.678176	0.680317	0.68791	0.69294	0.665529	0.681735	0.684635	0.690683	0.686977	0.692658	0.691979	0.688667	0.682504	0.690079	0.691253	0.663628	0.690113	0.676563	0.693147	0.682056	0.684751	0.673243	0.674866	0.678549	0.677683	0.667828	0.672711	0.680391	0.673699	0.677018	0.689279	0.6913	0.685654	0.674631	0.688515	0.682167	0.68948	0.683906
ZNF510	0.675931	0.677976	0.675296	0.680117	0.678044	0.677499	0.676384	0.680665	0.677336	0.670816	0.678221	0.677172	0.6727	0.674685	0.674071	0.677367	0.676637	0.677254	0.674885	0.672986	0.673525	0.673728	0.674068	0.674373	0.672652	0.67842	0.674723	0.677098	0.678303	0.677369	0.680091	0.680916	0.680057	0.673318	0.679032	0.672963	0.682383	0.676325	0.674944	0.67583	0.678414	0.679532	0.678108	0.679098	0.675981	0.67327	0.678391	0.669773	0.67698	0.675521	0.682096	0.675581	0.68035	0.677371	0.674082	0.67708	0.679619	0.674078	0.673973	0.673844	0.677408	0.676806	0.676277	0.671002	0.683053	0.68106	0.675627	0.678027	0.680062	0.677132	0.67933	0.674368	0.677859	0.678576	0.673044	0.678618	0.678967	0.677733	0.679289	0.671637	0.678508	0.679327	0.678343	0.676808	0.681733	0.682527	0.673704	0.67748	0.67916	0.675034	0.678801	0.678349	0.676562	0.677506	0.674441	0.678647	0.67522	0.674149	0.674788	0.68166	0.678128	0.679123	0.675699	0.677366	0.677718	0.674015	0.676402	0.676744	0.681321	0.67903	0.677439	0.679728	0.673047	0.681886	0.677481	0.679066	0.668268	0.675203	0.678431	0.676406	0.674258	0.67378	0.679566	0.674983	0.678518	0.676627	0.67234	0.677216	0.673282	0.67559	0.676521	0.674636	0.677192	0.676054	0.679302	0.671588	0.668945	0.67903	0.679397	0.675438	0.680411	0.674446	0.671521	0.678566	0.675005	0.677726	0.677118	0.679018	0.671666	0.685338	0.677727	0.675534	0.672387	0.673784	0.676867	0.677884	0.678467	0.676277	0.679073	0.674117	0.675171	0.679728	0.676365	0.679135	0.682308	0.676801	0.678293	0.675733	0.676258	0.678865	0.681835	0.676402	0.685631	0.677736	0.671647	0.678955	0.67936	0.677558	0.678895	0.677882	0.678471	0.679612	0.678397	0.672266	0.673021	0.677605	0.67501	0.678014	0.678339	0.677088	0.679838	0.675454
ZNF506	0.676944	0.674265	0.690721	0.676732	0.682205	0.689817	0.685763	0.673785	0.675891	0.667659	0.679628	0.681059	0.673629	0.673484	0.669492	0.683527	0.67282	0.676757	0.670528	0.667637	0.668618	0.66965	0.667406	0.66977	0.669171	0.691807	0.671236	0.672903	0.678932	0.676538	0.681664	0.68163	0.678165	0.667693	0.690199	0.692828	0.669954	0.683813	0.677567	0.671427	0.678126	0.679749	0.67628	0.680394	0.678506	0.682776	0.682198	0.676026	0.673761	0.672272	0.676824	0.687064	0.678381	0.672631	0.683066	0.686273	0.673761	0.672198	0.680534	0.674224	0.675714	0.680871	0.676544	0.671832	0.685716	0.675202	0.675583	0.676261	0.674152	0.668079	0.685641	0.670339	0.672506	0.678165	0.670712	0.678829	0.68275	0.688458	0.681163	0.671306	0.675278	0.677405	0.675697	0.679616	0.684236	0.676196	0.67184	0.678509	0.680193	0.66641	0.674465	0.677249	0.674921	0.675807	0.673632	0.679357	0.671751	0.680891	0.672064	0.68044	0.677821	0.675082	0.673298	0.684152	0.677234	0.672584	0.691947	0.687035	0.673391	0.676438	0.678081	0.685396	0.670606	0.68655	0.676026	0.675737	0.675497	0.667861	0.682875	0.673705	0.680303	0.669107	0.690538	0.682649	0.677042	0.674044	0.670942	0.678332	0.68768	0.674116	0.674197	0.671002	0.672487	0.674738	0.674068	0.665908	0.669446	0.67592	0.675339	0.687441	0.675485	0.684238	0.671365	0.679832	0.673963	0.675033	0.679886	0.674941	0.675325	0.680556	0.677039	0.673065	0.672092	0.684094	0.674029	0.676801	0.669887	0.691303	0.677536	0.669659	0.67465	0.675964	0.681716	0.679702	0.67679	0.680522	0.679235	0.672169	0.680331	0.677995	0.687559	0.672343	0.685351	0.677968	0.673289	0.676439	0.6758	0.674667	0.674541	0.674794	0.676118	0.676832	0.676064	0.66918	0.684671	0.675709	0.680679	0.673114	0.677664	0.690816	0.671376	0.671697
PGR	0.693147	0.693147	0.693147	0.690337	0.653077	0.691942	0.693147	0.691165	0.681222	0.693147	0.692403	0.692077	0.658769	0.674052	0.693147	0.693147	0.693147	0.682418	0.692077	0.689499	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.630773	0.686548	0.686511	0.676332	0.679019	0.693147	0.653212	0.693147	0.689499	0.680624	0.693147	0.64898	0.693147	0.666216	0.691193	0.693147	0.693147	0.693147	0.597627	0.658791	0.668799	0.690036	0.693147	0.693147	0.692403	0.653452	0.693147	0.686561	0.693147	0.689548	0.690059	0.690046	0.691991	0.685553	0.693147	0.693147	0.621579	0.693147	0.682909	0.692271	0.693147	0.693147	0.68401	0.693147	0.620262	0.683456	0.693147	0.6782	0.659635	0.693147	0.691764	0.689499	0.586023	0.691395	0.564032	0.678738	0.693147	0.631868	0.68401	0.684361	0.66986	0.693147	0.693147	0.676854	0.673372	0.693147	0.671951	0.693147	0.641848	0.693147	0.692403	0.693147	0.686283	0.682516	0.693147	0.664137	0.672766	0.691165	0.693147	0.693147	0.693147	0.693147	0.689499	0.693147	0.687306	0.693147	0.693147	0.672394	0.693147	0.607143	0.687082	0.693147	0.693147	0.693147	0.689499	0.676293	0.691672	0.685205	0.674276	0.680409	0.683783	0.664054	0.665614	0.626175	0.691764	0.676189	0.685205	0.693147	0.693147	0.68081	0.690125	0.693147	0.693147	0.666503	0.646896	0.692538	0.686641	0.693147	0.693147	0.68995	0.693147	0.691165	0.673573	0.693147	0.691165	0.690186	0.67919	0.692271	0.536532	0.689499	0.693147	0.691037	0.69177	0.67881	0.68953	0.693147	0.693147	0.683784	0.682673	0.693147	0.693147	0.67559	0.693147	0.693147	0.693147	0.685635	0.668055	0.665219	0.658984	0.683884	0.66611	0.637152	0.656459	0.689515	0.674276	0.559686	0.693147	0.693147	0.691165	0.693147	0.692271	0.693147	0.689499	0.693147
NFE2L1	0.674245	0.67768	0.677973	0.676667	0.678425	0.677142	0.678613	0.677585	0.679054	0.677616	0.677991	0.676211	0.67751	0.67487	0.679319	0.67764	0.678252	0.676838	0.677701	0.678679	0.677871	0.678986	0.678122	0.679255	0.677958	0.678491	0.678878	0.673499	0.677517	0.676299	0.676689	0.676817	0.675851	0.675726	0.677059	0.674738	0.677846	0.677949	0.679035	0.675271	0.676944	0.67818	0.67749	0.683348	0.676179	0.67664	0.678056	0.677056	0.674861	0.678602	0.67728	0.678681	0.677308	0.676901	0.67712	0.676544	0.677726	0.676364	0.675779	0.677492	0.678011	0.676476	0.675595	0.676625	0.674582	0.680706	0.675454	0.67799	0.676454	0.678867	0.676399	0.67681	0.675071	0.676242	0.679129	0.676881	0.676307	0.677199	0.677098	0.679367	0.677494	0.677006	0.678422	0.676375	0.677515	0.677085	0.675434	0.676531	0.675396	0.675514	0.677498	0.676083	0.674818	0.676417	0.676288	0.678856	0.677174	0.6776	0.676703	0.676541	0.675847	0.676819	0.67888	0.676672	0.676671	0.676884	0.676558	0.676477	0.67586	0.67754	0.675819	0.678042	0.676671	0.681385	0.679824	0.676713	0.675754	0.678825	0.676298	0.675959	0.676798	0.676474	0.677938	0.676433	0.677303	0.674345	0.67383	0.675431	0.677263	0.67453	0.675709	0.675944	0.679054	0.676725	0.675685	0.676791	0.677785	0.676215	0.679319	0.674467	0.67706	0.67769	0.676234	0.675429	0.676191	0.678375	0.679088	0.677448	0.677081	0.67617	0.677187	0.673897	0.676236	0.677573	0.67613	0.675604	0.675009	0.67843	0.673096	0.677585	0.676639	0.679858	0.675837	0.678962	0.675855	0.676535	0.677191	0.677596	0.678156	0.67654	0.675483	0.677381	0.683548	0.67572	0.675012	0.673957	0.674164	0.674777	0.675506	0.674524	0.674169	0.67463	0.675114	0.677112	0.674664	0.674614	0.675994	0.674148	0.676391	0.676078	0.67462	0.675373
