division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZNF366	specific	1	0.249468	2.99	-72.5
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	OLIG1	specific	2	0.452998	7.27	-18.61
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	VENTX	specific	3	0.457383	3.96	-17.989
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	UNCX	specific	4	0.463254	1.43	-17.071
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	CEBPE	specific	5	0.475745	5.77	-15.042
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	TAL1	specific	6	0.510682	6.82	-9.844
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GFI1B	specific	8	0.553628	4.43	-4.835
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GATA1	specific	9	0.557019	2.91	-4.543
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	FEV	specific	10	0.574155	2.06	-2.993
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	TFEC	specific	11	0.579516	5.56	-2.583
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZBTB16	specific	12	0.580067	4.5	-2.575
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SPI1	specific	13	0.592491	7.96	-1.655
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HLF	specific	14	0.594702	5.56	-1.529
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HMX1	specific	15	0.595484	2.01	-1.505
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	MYCN	specific	16	0.599992	6.55	-1.226
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ONECUT3	specific	17	0.601427	1.86	-1.158
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	NME2	non_specific	1014	0.677479	9.4	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	YBX1	non_specific	990	0.677035	9.31	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ATF4	non_specific	996	0.677186	8.46	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HMGA1	non_specific	909	0.675674	8.28	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SON	non_specific	667	0.673571	8.27	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	MYB	non_specific	48	0.64624	7.95	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	MAZ	non_specific	887	0.675493	7.93	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	MYC	non_specific	617	0.673096	7.76	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GTF2I	non_specific	716	0.673878	7.71	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	STAT6	non_specific	427	0.671232	7.71	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	PA2G4	non_specific	992	0.677044	7.57	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZNF207	non_specific	906	0.675643	7.45	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ELF1	non_specific	288	0.668829	7.38	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SMYD3	non_specific	256	0.667902	7.35	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GFI1	non_specific	27	0.625699	7.28	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	KLF13	non_specific	308	0.66933	7.21	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	STAT5A	non_specific	62	0.650522	7.17	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	MAX	non_specific	625	0.673164	7.13	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ETS2	non_specific	267	0.668146	7.13	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	IKZF1	non_specific	29	0.626759	7.11	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HHEX	non_specific	73	0.653232	7.11	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	YBX3	non_specific	957	0.676404	7.08	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HMGN3	non_specific	885	0.675454	7.05	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	PLSCR1	non_specific	485	0.671796	7.04	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	RUNX1	non_specific	171	0.664361	7.01	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ATF6B	non_specific	676	0.673638	7.0	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	FOS	non_specific	342	0.67005	6.99	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	FLI1	non_specific	51	0.647694	6.93	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	STAT1	non_specific	770	0.67438	6.92	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SAFB	non_specific	785	0.674472	6.91	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GPBP1L1	non_specific	737	0.674061	6.85	-0.104
