division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeLineage	Ampulla of Vater	4	FOXQ1	non_specific	6	0.493886	5.67	-0.395
OncotreeLineage	Ampulla of Vater	4	KCMF1	non_specific	436	0.615622	5.67	-0.039
OncotreeLineage	Ampulla of Vater	4	EHF	non_specific	24	0.542526	5.64	-0.039
OncotreeLineage	Ampulla of Vater	4	FOXM1	non_specific	444	0.615858	5.64	-0.039
OncotreeLineage	Ampulla of Vater	4	IRF9	non_specific	156	0.60198	5.62	-0.039
OncotreeLineage	Ampulla of Vater	4	USF2	non_specific	695	0.621447	5.6	-0.039
OncotreeLineage	Ampulla of Vater	4	MLX	non_specific	354	0.613346	5.57	-0.039
OncotreeLineage	Ampulla of Vater	4	DDIT3	non_specific	583	0.619049	5.55	-0.039
OncotreeLineage	Ampulla of Vater	4	PHF19	non_specific	403	0.614798	5.53	-0.039
OncotreeLineage	Ampulla of Vater	4	ZNF146	non_specific	694	0.621438	5.53	-0.039
OncotreeLineage	Ampulla of Vater	4	SMAD2	non_specific	399	0.614753	5.51	-0.039
OncotreeLineage	Ampulla of Vater	4	TSC22D4	non_specific	179	0.604328	5.5	-0.039
OncotreeLineage	Ampulla of Vater	4	CAMTA1	non_specific	818	0.624403	5.49	-0.039
OncotreeLineage	Ampulla of Vater	4	E2F4	non_specific	584	0.619055	5.48	-0.039
OncotreeLineage	Ampulla of Vater	4	NFE2L3	non_specific	115	0.597117	5.47	-0.039
OncotreeLineage	Ampulla of Vater	4	HOXB7	non_specific	65	0.581759	5.47	-0.039
OncotreeLineage	Ampulla of Vater	4	SLC2A4RG	non_specific	460	0.616324	5.46	-0.039
OncotreeLineage	Ampulla of Vater	4	CEBPZ	non_specific	503	0.617205	5.44	-0.039
OncotreeLineage	Ampulla of Vater	4	GLYR1	non_specific	423	0.615333	5.42	-0.039
OncotreeLineage	Ampulla of Vater	4	PIN1	non_specific	720	0.621796	5.42	-0.039
OncotreeLineage	Ampulla of Vater	4	YY1	non_specific	402	0.614777	5.42	-0.039
OncotreeLineage	Ampulla of Vater	4	DNTTIP1	non_specific	429	0.615486	5.41	-0.039
OncotreeLineage	Ampulla of Vater	4	CREB3	non_specific	387	0.614498	5.4	-0.039
OncotreeLineage	Ampulla of Vater	4	KDM2A	non_specific	346	0.613248	5.36	-0.039
OncotreeLineage	Ampulla of Vater	4	TSC22D3	non_specific	114	0.59703	5.35	-0.039
OncotreeLineage	Ampulla of Vater	4	KLF13	non_specific	207	0.606767	5.3	-0.039
OncotreeLineage	Ampulla of Vater	4	NR2F2	non_specific	147	0.600842	5.29	-0.039
OncotreeLineage	Ampulla of Vater	4	CBFB	non_specific	407	0.614932	5.29	-0.039
OncotreeLineage	Ampulla of Vater	4	BPTF	non_specific	276	0.610663	5.29	-0.039
OncotreeLineage	Ampulla of Vater	4	TFAM	non_specific	379	0.6142	5.29	-0.039
OncotreeLineage	Biliary Tract	38	NME2	non_specific	305	0.616027	10.21	-0.044
OncotreeLineage	Biliary Tract	38	YBX1	non_specific	586	0.620027	9.02	-0.044
OncotreeLineage	Biliary Tract	38	ATF4	non_specific	347	0.616741	8.73	-0.044
OncotreeLineage	Biliary Tract	38	HMGA1	non_specific	239	0.614442	8.07	-0.044
OncotreeLineage	Biliary Tract	38	DRAP1	non_specific	415	0.617785	7.58	-0.044
OncotreeLineage	Biliary Tract	38	YBX3	non_specific	203	0.613157	7.52	-0.044
OncotreeLineage	Biliary Tract	38	PA2G4	non_specific	500	0.618945	7.41	-0.044
OncotreeLineage	Biliary Tract	38	HIF1A	non_specific	152	0.61035	6.92	-0.044
OncotreeLineage	Biliary Tract	38	ZNF207	non_specific	335	0.616624	6.91	-0.044
OncotreeLineage	Biliary Tract	38	RBCK1	non_specific	164	0.611276	6.75	-0.044
OncotreeLineage	Biliary Tract	38	MAZ	non_specific	636	0.620647	6.73	-0.044
OncotreeLineage	Biliary Tract	38	XBP1	non_specific	228	0.61409	6.65	-0.044
