	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
E2F1	0.617769	0.619692	0.623708	0.613584	0.611078	0.616385	0.611957	0.612456	0.613245	0.619408	0.623913	0.629329	0.630037	0.62106	0.608983	0.605803	0.608454	0.616241	0.615413	0.61786	0.607549	0.620547	0.614673	0.616326	0.614009	0.630076	0.61543	0.614188	0.644496
DNTTIP1	0.617512	0.615486	0.614371	0.614514	0.618877	0.61438	0.620689	0.613849	0.617169	0.615679	0.622227	0.625888	0.617312	0.617709	0.616974	0.614956	0.62183	0.618729	0.617895	0.61201	0.618064	0.614319	0.620128	0.615206	0.615275	0.621231	0.609983	0.61773	0.630254
ZNF516	0.667261	0.615393	0.621022	0.629471	0.603025	0.625521	0.632882	0.614126	0.643964	0.618617	0.612603	0.605621	0.625394	0.612991	0.608197	0.608826	0.620859	0.600204	0.623549	0.624564	0.594254	0.625249	0.637865	0.601143	0.616239	0.587862	0.622214	0.614234	0.613109
ADNP2	0.615142	0.613186	0.621149	0.615441	0.611509	0.61999	0.618522	0.616247	0.620892	0.619091	0.613424	0.627645	0.630405	0.617765	0.615761	0.612499	0.617098	0.611896	0.61987	0.62542	0.608014	0.615301	0.612535	0.618473	0.61392	0.610793	0.616992	0.610926	0.642545
RHOXF1	0.693147	0.674169	0.649936	0.651558	0.652011	0.632632	0.625893	0.650401	0.617839	0.643902	0.682288	0.671026	0.642502	0.559553	0.653139	0.580644	0.537694	0.553776	0.628321	0.633836	0.554184	0.688548	0.595497	0.674897	0.672827	0.548767	0.588628	0.614634	0.515173
ELF4	0.620104	0.599545	0.611054	0.597704	0.621953	0.613363	0.619463	0.61365	0.613834	0.61179	0.625032	0.612077	0.612479	0.614799	0.617162	0.610939	0.617014	0.603542	0.615218	0.610412	0.642919	0.603693	0.622881	0.630381	0.628348	0.652856	0.608861	0.616153	0.654651
GATA1	0.693147	0.680179	0.683171	0.670598	0.663097	0.659653	0.658898	0.668855	0.689187	0.664897	0.690366	0.683679	0.67243	0.670031	0.664923	0.654234	0.652377	0.080677	0.658474	0.67029	0.680173	0.67663	0.662687	0.674421	0.676948	0.680126	0.660701	0.650599	0.693147
EEA1	0.620018	0.614068	0.622098	0.609942	0.610921	0.619877	0.621478	0.607954	0.625657	0.62219	0.612645	0.597328	0.62011	0.608539	0.609966	0.616982	0.62775	0.628021	0.62513	0.626036	0.623096	0.601118	0.61274	0.607481	0.614207	0.629522	0.615249	0.623403	0.641549
KLF8	0.693147	0.667259	0.630015	0.566635	0.655709	0.64874	0.536879	0.64436	0.625098	0.633982	0.684686	0.5672	0.597584	0.57409	0.671332	0.593731	0.616795	0.632262	0.578437	0.650944	0.663221	0.633456	0.582431	0.662487	0.644584	0.509183	0.627536	0.607912	0.648888
KLF5	0.611729	0.585252	0.59031	0.593823	0.645496	0.581494	0.616195	0.635023	0.589052	0.586315	0.632076	0.639792	0.587846	0.645635	0.621768	0.61025	0.664691	0.664977	0.60553	0.586283	0.660616	0.620469	0.597202	0.633482	0.643703	0.641111	0.629299	0.617862	0.617653
TSC22D1	0.639791	0.607377	0.613989	0.616494	0.61784	0.604348	0.613296	0.613987	0.611887	0.61158	0.621293	0.613621	0.61933	0.620002	0.620032	0.612888	0.640821	0.631398	0.61563	0.612416	0.611495	0.621157	0.6144	0.610672	0.619437	0.61969	0.610484	0.616937	0.631939
ZNF629	0.626107	0.613331	0.617349	0.612985	0.610887	0.612411	0.612704	0.612628	0.617277	0.615862	0.61751	0.616289	0.623569	0.617524	0.614203	0.61204	0.651018	0.618311	0.61206	0.615844	0.598326	0.610839	0.62349	0.622985	0.608485	0.632103	0.621526	0.611585	0.636399
HSF4	0.604023	0.640216	0.623596	0.618091	0.622522	0.613447	0.607416	0.617142	0.615949	0.613393	0.612359	0.630088	0.620255	0.60229	0.618055	0.604105	0.616924	0.63136	0.6221	0.614468	0.607754	0.62914	0.603042	0.606017	0.62379	0.656173	0.615714	0.617408	0.611854
CENPT	0.615771	0.628081	0.627262	0.61414	0.615288	0.619275	0.616784	0.613897	0.61565	0.619924	0.625333	0.604617	0.620241	0.615332	0.614832	0.613518	0.610771	0.610896	0.618018	0.619788	0.617207	0.618301	0.611326	0.621875	0.615369	0.618596	0.619337	0.612701	0.637668
NFAT5	0.598095	0.607363	0.623093	0.606393	0.623142	0.607662	0.621005	0.613089	0.622244	0.612285	0.633379	0.603255	0.624428	0.615612	0.614284	0.612298	0.622481	0.62478	0.617319	0.608056	0.617538	0.61126	0.616864	0.617701	0.618192	0.641924	0.617709	0.608389	0.659293
ZNF423	0.523642	0.68608	0.678754	0.660538	0.547428	0.662407	0.639799	0.612583	0.659652	0.656357	0.648569	0.569969	0.673487	0.664617	0.618019	0.636965	0.614881	0.664339	0.612192	0.675272	0.487646	0.675715	0.689106	0.676114	0.564891	0.451205	0.672845	0.580755	0.681515
CTCF	0.61919	0.61632	0.619795	0.614011	0.613265	0.615445	0.616953	0.615995	0.61571	0.616288	0.621612	0.623705	0.622245	0.620434	0.615941	0.613142	0.608579	0.612598	0.618458	0.617279	0.612035	0.61797	0.618132	0.618755	0.616626	0.618315	0.620486	0.615913	0.635442
ZNF821	0.608718	0.623488	0.620191	0.616709	0.598956	0.624417	0.609158	0.612199	0.620542	0.621717	0.616396	0.617021	0.631706	0.622506	0.616639	0.606094	0.602979	0.623432	0.622122	0.625292	0.588008	0.635452	0.612283	0.625531	0.612532	0.61981	0.619237	0.615904	0.648904
ZNF500	0.618262	0.618353	0.625453	0.616952	0.610717	0.615533	0.60923	0.610556	0.628963	0.617502	0.621865	0.608418	0.625936	0.61102	0.611393	0.607309	0.613288	0.610753	0.614886	0.618435	0.609118	0.61841	0.614961	0.616196	0.616282	0.644999	0.61627	0.608598	0.657808
FOXF1	0.689605	0.655192	0.664923	0.630631	0.60457	0.653286	0.665492	0.495121	0.623851	0.63877	0.675537	0.496256	0.647469	0.662068	0.606438	0.639329	0.681513	0.673022	0.66599	0.649406	0.562891	0.504237	0.67869	0.579541	0.498208	0.657349	0.626969	0.645093	0.693147
ZNF174	0.605488	0.622133	0.621971	0.621643	0.610506	0.61631	0.61863	0.612349	0.619861	0.619139	0.612801	0.622119	0.624723	0.617195	0.61702	0.615268	0.612629	0.615092	0.618605	0.621116	0.610104	0.613284	0.619588	0.612988	0.613982	0.624016	0.617553	0.616499	0.639059
SALL1	0.689223	0.692525	0.655906	0.657513	0.564291	0.682667	0.670936	0.542792	0.677323	0.667377	0.594228	0.610347	0.678555	0.556281	0.552941	0.623888	0.680575	0.679058	0.596647	0.674596	0.61639	0.662908	0.675655	0.581803	0.585876	0.468147	0.632225	0.557427	0.615937
TOX3	0.688712	0.575272	0.598154	0.627063	0.626244	0.541477	0.574703	0.651576	0.656125	0.575681	0.66514	0.689355	0.673353	0.645801	0.567356	0.563791	0.679506	0.685442	0.630621	0.576784	0.577725	0.682909	0.568283	0.666742	0.598319	0.533191	0.659778	0.648968	0.65683
MAZ	0.621645	0.618059	0.620647	0.616939	0.6118	0.617823	0.61503	0.616418	0.619475	0.618028	0.615303	0.621094	0.622764	0.618814	0.615807	0.61483	0.612526	0.611206	0.618763	0.620564	0.609752	0.616919	0.615904	0.617504	0.615318	0.620939	0.6174	0.616343	0.632747
BRF2	0.611745	0.627137	0.617008	0.617721	0.60442	0.620676	0.613805	0.612339	0.6229	0.619184	0.613019	0.612434	0.622223	0.61885	0.617625	0.61383	0.618567	0.612631	0.619261	0.62036	0.613896	0.614182	0.620913	0.614864	0.610985	0.617156	0.616912	0.615254	0.654024
TRPS1	0.583635	0.63174	0.620545	0.644153	0.592864	0.648338	0.541292	0.597046	0.645427	0.61123	0.613104	0.598757	0.626717	0.630769	0.624006	0.614438	0.631032	0.627466	0.6094	0.621723	0.634917	0.645209	0.614719	0.616275	0.620281	0.644392	0.595424	0.620786	0.638034
RELB	0.587558	0.612641	0.613062	0.608343	0.639742	0.61793	0.622826	0.620609	0.620364	0.614858	0.64364	0.621465	0.615029	0.604834	0.608847	0.616944	0.592402	0.621829	0.608556	0.608353	0.642852	0.605388	0.627933	0.621401	0.624983	0.6409	0.608833	0.607356	0.643559
DOT1L	0.611697	0.62716	0.630685	0.611936	0.613103	0.614841	0.614829	0.6113	0.633039	0.61557	0.633109	0.612212	0.6306	0.619393	0.603862	0.604496	0.59901	0.596091	0.621934	0.623248	0.607587	0.627002	0.61281	0.615298	0.616029	0.624552	0.617841	0.612518	0.657795
LYL1	0.667643	0.626527	0.640117	0.623786	0.67728	0.65031	0.673529	0.659553	0.629584	0.650543	0.661912	0.607527	0.642761	0.666855	0.615108	0.642053	0.488747	0.346914	0.644217	0.622882	0.603883	0.606741	0.631134	0.613504	0.643791	0.681025	0.642987	0.666736	0.672174
SNAPC2	0.606553	0.622669	0.622789	0.620376	0.612846	0.622572	0.61511	0.607708	0.630318	0.620556	0.6185	0.604152	0.628446	0.614838	0.616841	0.616274	0.620108	0.614211	0.615052	0.619992	0.615119	0.612852	0.6146	0.610218	0.61117	0.633926	0.608701	0.612374	0.645458
AKAP8	0.625421	0.615859	0.621065	0.613904	0.616376	0.613166	0.614312	0.616225	0.622699	0.614562	0.625706	0.618115	0.62242	0.614857	0.612653	0.612794	0.610672	0.607164	0.616928	0.615213	0.619597	0.619619	0.613504	0.616259	0.618451	0.622695	0.616007	0.614298	0.641243
ZNF419	0.610458	0.630174	0.615985	0.620395	0.613458	0.636326	0.61827	0.612748	0.621227	0.624146	0.612414	0.613073	0.624709	0.623774	0.617799	0.611389	0.621285	0.611151	0.615722	0.616757	0.609973	0.612408	0.599519	0.616251	0.615442	0.618708	0.622724	0.616597	0.629862
OVOL3	0.648325	0.643856	0.655695	0.635619	0.63195	0.629136	0.569904	0.611575	0.657462	0.597023	0.675963	0.648642	0.640939	0.649263	0.589031	0.540235	0.541183	0.608603	0.610886	0.61579	0.610012	0.6391	0.575044	0.637745	0.610651	0.657126	0.630302	0.556614	0.693147
CRX	0.693147	0.678453	0.686213	0.687531	0.690057	0.685876	0.686264	0.530863	0.688408	0.68764	0.296504	0.688277	0.68515	0.668006	0.691085	0.651068	0.688874	0.681783	0.685464	0.686892	0.689359	0.689591	0.682686	0.691044	0.663456	0.28132	0.66605	0.562213	0.693147
MEIS3	0.558547	0.65264	0.621105	0.633772	0.6216	0.641	0.621023	0.590953	0.620532	0.638248	0.603663	0.565514	0.641419	0.613645	0.628128	0.625739	0.673901	0.670789	0.633239	0.655079	0.561552	0.596536	0.636185	0.611479	0.599898	0.586966	0.612477	0.608657	0.644119
ZNF175	0.622088	0.63431	0.630969	0.609207	0.612301	0.636333	0.619009	0.60339	0.62265	0.633854	0.613344	0.590399	0.639012	0.608217	0.612619	0.620783	0.623889	0.586238	0.622512	0.622089	0.604374	0.609629	0.61609	0.613009	0.608211	0.633871	0.600486	0.625511	0.648751
DBP	0.581507	0.625881	0.62047	0.630183	0.60349	0.624913	0.617612	0.616418	0.612949	0.621431	0.605804	0.643704	0.618453	0.635208	0.620699	0.618772	0.612071	0.603887	0.619784	0.626269	0.605062	0.638172	0.613883	0.619902	0.607122	0.617241	0.618481	0.624146	0.615341
KLF1	0.693147	0.664593	0.673281	0.678781	0.603373	0.644765	0.637941	0.669509	0.653908	0.651868	0.667857	0.671588	0.671891	0.675271	0.680558	0.610746	0.596917	0.169129	0.659245	0.669449	0.603839	0.678206	0.64903	0.66615	0.671237	0.639953	0.674677	0.654467	0.693147
ETV2	0.609195	0.645985	0.612495	0.618137	0.608449	0.604645	0.608423	0.606804	0.617645	0.613075	0.605268	0.61275	0.627888	0.625293	0.61529	0.616251	0.622522	0.620462	0.620193	0.623002	0.612422	0.628682	0.615394	0.603434	0.603311	0.657918	0.611387	0.62376	0.629481
USF2	0.620358	0.621447	0.620257	0.615968	0.618133	0.616696	0.613298	0.614854	0.617929	0.614676	0.620248	0.61555	0.621164	0.61919	0.612633	0.612399	0.611281	0.613508	0.615786	0.61762	0.619475	0.620341	0.617936	0.612263	0.620187	0.62599	0.615562	0.615049	0.630518
ZNF14	0.579742	0.642137	0.629312	0.619245	0.612264	0.62745	0.609866	0.615045	0.62318	0.622894	0.607172	0.634038	0.648589	0.621816	0.637897	0.612149	0.61367	0.614373	0.614818	0.621201	0.600986	0.612262	0.604231	0.622891	0.602043	0.587632	0.629226	0.609884	0.650703
PBX4	0.6342	0.637375	0.626191	0.603216	0.604056	0.59447	0.614886	0.614901	0.61588	0.595085	0.650166	0.642762	0.622242	0.605686	0.652263	0.594232	0.611123	0.626333	0.607864	0.600297	0.621246	0.637069	0.61079	0.628866	0.620916	0.605963	0.611685	0.597932	0.641064
ERF	0.60776	0.620729	0.619911	0.617515	0.609615	0.617964	0.617763	0.612293	0.616618	0.616286	0.620179	0.615703	0.621318	0.617292	0.605975	0.616943	0.62294	0.616938	0.615799	0.620679	0.613225	0.617584	0.623022	0.613426	0.614673	0.626942	0.616411	0.615942	0.640328
ZNF574	0.626385	0.621943	0.619709	0.61519	0.613678	0.613522	0.613842	0.615476	0.617451	0.614856	0.62344	0.619664	0.624589	0.616726	0.608491	0.608549	0.611141	0.605458	0.615301	0.617718	0.611792	0.616322	0.622585	0.618344	0.616979	0.622716	0.617938	0.612733	0.651165
ZNF85	0.583338	0.678336	0.647175	0.616744	0.607523	0.654478	0.616292	0.598383	0.667348	0.650409	0.606232	0.605164	0.654716	0.613629	0.638567	0.61238	0.598839	0.606681	0.61783	0.643479	0.592218	0.593851	0.595557	0.621492	0.600752	0.575969	0.609115	0.608101	0.642258
HBP1	0.618383	0.614684	0.614048	0.618292	0.617108	0.620929	0.616461	0.614467	0.620301	0.618486	0.61308	0.612466	0.619603	0.615688	0.616839	0.618672	0.622578	0.621445	0.617151	0.618258	0.612294	0.611849	0.619755	0.612008	0.615723	0.624477	0.614259	0.621614	0.629301
SP4	0.587374	0.624085	0.621717	0.617415	0.609855	0.626079	0.623083	0.610378	0.618734	0.617671	0.621772	0.644657	0.630035	0.625869	0.619517	0.602113	0.600954	0.614044	0.622593	0.623036	0.599446	0.619597	0.618584	0.620121	0.610344	0.596918	0.620746	0.619213	0.655462
DLX5	0.630546	0.659143	0.642306	0.620127	0.509375	0.645881	0.628755	0.599458	0.605405	0.614271	0.602859	0.62201	0.590515	0.679221	0.629879	0.574193	0.689882	0.670763	0.578266	0.669218	0.536783	0.667889	0.617689	0.591355	0.637457	0.654189	0.651393	0.550112	0.679156
TFEC	0.643814	0.660009	0.604614	0.655579	0.62421	0.637814	0.660376	0.642351	0.677963	0.646974	0.649058	0.659752	0.631847	0.639995	0.619474	0.643131	0.520429	0.344207	0.647533	0.669689	0.669556	0.634663	0.674249	0.623723	0.602743	0.690968	0.656873	0.667788	0.519773
HOXA1	0.572377	0.62218	0.649062	0.576813	0.633668	0.618618	0.651027	0.6259	0.598864	0.602647	0.64394	0.633223	0.577962	0.606124	0.616265	0.613199	0.626174	0.618328	0.600041	0.629475	0.665604	0.618617	0.611589	0.590847	0.608702	0.682521	0.633521	0.605632	0.620765
HOXA2	0.637069	0.592577	0.630097	0.594411	0.645648	0.601612	0.642398	0.601347	0.623556	0.608567	0.668785	0.617239	0.61232	0.57105	0.601411	0.605834	0.670899	0.657597	0.600429	0.570009	0.665351	0.573305	0.611167	0.617976	0.609565	0.693147	0.635212	0.585233	0.637018
HOXA3	0.597075	0.600413	0.615246	0.58729	0.648034	0.598893	0.641345	0.615781	0.617374	0.598685	0.667441	0.623581	0.613407	0.575658	0.5943	0.606076	0.661498	0.640858	0.596772	0.572099	0.673878	0.605835	0.630933	0.603693	0.618021	0.692295	0.62123	0.600193	0.655736
HOXA5	0.612175	0.616874	0.641081	0.593768	0.624417	0.594372	0.643004	0.621738	0.596495	0.605853	0.655545	0.586734	0.622208	0.585578	0.613102	0.607446	0.63694	0.615179	0.60005	0.611832	0.661782	0.624613	0.606397	0.595902	0.6149	0.6836	0.630519	0.593944	0.654743
HOXA6	0.583891	0.586757	0.638384	0.584516	0.620906	0.582135	0.646518	0.625892	0.61604	0.603943	0.660176	0.597965	0.63595	0.596468	0.61324	0.589313	0.622376	0.602932	0.611107	0.603984	0.666516	0.660067	0.599575	0.605917	0.623615	0.692431	0.633647	0.592321	0.678046
HOXA13	0.655834	0.580784	0.620948	0.579704	0.613581	0.522951	0.648335	0.619843	0.587011	0.568006	0.648295	0.650169	0.628497	0.636828	0.596907	0.619814	0.669653	0.616881	0.639334	0.592859	0.658834	0.631457	0.551013	0.625658	0.603394	0.688507	0.651852	0.637969	0.66185
EVX1	0.693147	0.675145	0.62617	0.579359	0.628871	0.324459	0.626061	0.662015	0.663199	0.518793	0.692117	0.687227	0.672598	0.68265	0.566951	0.621954	0.67413	0.680112	0.648921	0.623956	0.67338	0.680473	0.521415	0.665171	0.644998	0.573241	0.667256	0.665051	0.693147
ZKSCAN1	0.615692	0.607422	0.619396	0.619331	0.614259	0.613325	0.614028	0.615829	0.626078	0.61613	0.616668	0.619772	0.623061	0.619502	0.617568	0.615064	0.615317	0.617161	0.62084	0.617285	0.608731	0.617861	0.613793	0.608918	0.619204	0.631037	0.618734	0.622434	0.626478
PAX4	0.641623	0.693147	0.693147	0.678624	0.675826	0.499018	0.659499	0.679751	0.679508	0.500584	0.68859	0.683859	0.683556	0.687702	0.673577	0.369902	0.669297	0.67624	0.589093	0.6794	0.565319	0.677437	0.667925	0.675056	0.682573	0.389557	0.676719	0.645348	0.693147
NOBOX	0.693147	0.693147	0.45914	0.653583	0.684987	0.671199	0.693147	0.664463	0.297559	0.693147	0.693147	0.693147	0.418217	0.609293	0.693147	0.658287	0.578859	0.674562	0.68336	0.677805	0.665947	0.648398	0.693147	0.679492	0.693147	0.693147	0.648788	0.578479	0.693147
NRF1	0.609217	0.620483	0.625075	0.614971	0.609445	0.615817	0.616424	0.613307	0.61907	0.618384	0.623471	0.621537	0.623719	0.617507	0.612912	0.609681	0.608088	0.613042	0.617626	0.620069	0.610477	0.617512	0.617106	0.617186	0.616597	0.622224	0.616904	0.616497	0.648628
MEOX2	0.317888	0.690176	0.664748	0.687009	0.589351	0.651639	0.674754	0.60304	0.67738	0.675096	0.692134	0.463108	0.685544	0.599734	0.589339	0.617564	0.681148	0.686161	0.644254	0.643942	0.639507	0.687107	0.691376	0.612443	0.554559	0.687207	0.637796	0.635567	0.693147
POU6F2	0.504549	0.648703	0.662022	0.623305	0.623547	0.617311	0.637805	0.61488	0.659002	0.558118	0.657824	0.686793	0.630259	0.689037	0.565405	0.542891	0.629988	0.66295	0.636911	0.649919	0.610142	0.691319	0.604807	0.632379	0.679614	0.46354	0.633509	0.610663	0.693147
AHR	0.681709	0.592759	0.591678	0.603654	0.62539	0.60784	0.608884	0.617536	0.616813	0.59651	0.617392	0.594662	0.600137	0.620008	0.598311	0.610969	0.653101	0.635532	0.626605	0.598762	0.651313	0.616012	0.618695	0.59983	0.633543	0.657992	0.614414	0.632292	0.620306
CHCHD3	0.612848	0.617897	0.620756	0.61722	0.614434	0.614843	0.618331	0.61302	0.619852	0.619774	0.614282	0.620344	0.626215	0.614098	0.615953	0.614213	0.616238	0.617367	0.616533	0.619883	0.61063	0.61265	0.622519	0.611914	0.617249	0.62179	0.616064	0.616907	0.637086
GLI3	0.691728	0.680668	0.649564	0.605425	0.575905	0.65814	0.601093	0.56758	0.611296	0.631652	0.618611	0.584304	0.598724	0.610736	0.632995	0.637052	0.647059	0.678993	0.615507	0.662543	0.628994	0.596324	0.611352	0.568134	0.581535	0.585101	0.593837	0.635119	0.632681
AEBP1	0.691924	0.683199	0.674118	0.662691	0.566605	0.674619	0.657099	0.624306	0.664784	0.656121	0.584547	0.508833	0.649752	0.657622	0.657746	0.628197	0.583878	0.597069	0.615571	0.673494	0.55286	0.625698	0.635514	0.551512	0.593405	0.551248	0.604813	0.636936	0.602629
LHX2	0.518389	0.686438	0.641347	0.640905	0.603699	0.65541	0.609827	0.574124	0.560643	0.642704	0.622987	0.678199	0.632872	0.607287	0.613519	0.57441	0.637981	0.654796	0.616517	0.658613	0.648569	0.605878	0.645285	0.634664	0.571733	0.562273	0.634721	0.601803	0.686405
LHX6	0.616806	0.627221	0.640019	0.644152	0.620329	0.598818	0.590998	0.630546	0.563661	0.604569	0.634666	0.687836	0.605162	0.655383	0.61481	0.581846	0.678609	0.617723	0.603748	0.649471	0.615257	0.641437	0.585424	0.613189	0.616737	0.597879	0.613459	0.592853	0.621207
AKNA	0.620609	0.630208	0.630788	0.621915	0.61468	0.614086	0.624527	0.623615	0.626039	0.622423	0.619404	0.612187	0.634187	0.623045	0.628056	0.621944	0.560785	0.576157	0.61834	0.63385	0.62789	0.623817	0.623176	0.628035	0.632992	0.577788	0.610202	0.602792	0.648332
CREB3	0.618439	0.614498	0.61786	0.614534	0.619083	0.617288	0.616011	0.609811	0.614693	0.61805	0.61695	0.602065	0.617996	0.613393	0.614762	0.614876	0.624121	0.632917	0.615668	0.616038	0.620341	0.6115	0.616996	0.617141	0.617139	0.630635	0.611672	0.615271	0.643199
LHX3	0.649802	0.675518	0.604291	0.655737	0.672456	0.638084	0.66204	0.669162	0.583977	0.583312	0.361769	0.691225	0.617805	0.672128	0.665473	0.52362	0.592987	0.656849	0.677971	0.654496	0.678242	0.681375	0.510456	0.676553	0.579111	0.646265	0.673001	0.622002	0.675444
GLIS3	0.691687	0.564102	0.583542	0.612245	0.630705	0.641092	0.650511	0.570262	0.651352	0.636637	0.628739	0.584709	0.64965	0.560528	0.57559	0.617102	0.66456	0.67834	0.585573	0.62473	0.641078	0.556792	0.640675	0.640068	0.612241	0.672461	0.583205	0.58714	0.688265
GATA3	0.662972	0.611924	0.613005	0.554669	0.646754	0.644571	0.538361	0.626502	0.605779	0.615038	0.667262	0.667659	0.619687	0.653329	0.625953	0.631907	0.617428	0.656471	0.640607	0.595845	0.513992	0.61649	0.614808	0.653678	0.623803	0.63763	0.615182	0.635252	0.591103
TLX1	0.68663	0.667531	0.612537	0.636542	0.547434	0.514524	0.576855	0.636308	0.626772	0.579652	0.619887	0.664781	0.624047	0.680278	0.599018	0.547587	0.662195	0.60665	0.630731	0.622282	0.590536	0.685651	0.585124	0.636579	0.622716	0.633506	0.654539	0.61468	0.674425
PITX3	0.528194	0.632423	0.654728	0.667365	0.659642	0.662996	0.66427	0.646419	0.638839	0.63632	0.682333	0.652511	0.657084	0.618056	0.557384	0.599972	0.663385	0.659583	0.564372	0.665949	0.667363	0.657667	0.661149	0.680091	0.319279	0.634039	0.643809	0.594405	0.693147
EBF3	0.676305	0.64958	0.644427	0.653743	0.475638	0.674077	0.650677	0.648982	0.655483	0.651508	0.655223	0.505383	0.633185	0.626978	0.605089	0.606425	0.661526	0.611133	0.650031	0.662767	0.497833	0.659862	0.66957	0.560778	0.516341	0.652209	0.65861	0.635241	0.689922
TFAM	0.613958	0.6142	0.61954	0.612912	0.615246	0.613454	0.617366	0.617104	0.617567	0.614884	0.620104	0.628424	0.622495	0.616439	0.612508	0.611196	0.612924	0.614113	0.615171	0.616226	0.61698	0.612947	0.616499	0.618797	0.618525	0.624952	0.617572	0.615559	0.644242
UBTF	0.612172	0.617755	0.623906	0.616178	0.61072	0.618406	0.618505	0.614154	0.621175	0.618062	0.618762	0.617307	0.625189	0.616026	0.613446	0.611367	0.609512	0.611871	0.616007	0.621037	0.612756	0.616933	0.616355	0.616711	0.614981	0.628436	0.616555	0.613934	0.643929
CAMTA2	0.627803	0.629862	0.62642	0.621798	0.620902	0.621173	0.61599	0.613779	0.619177	0.618525	0.615912	0.596089	0.619872	0.609937	0.620619	0.613788	0.615886	0.614674	0.621881	0.624619	0.625364	0.609102	0.606699	0.614837	0.619128	0.622016	0.603429	0.614791	0.629
HOXB6	0.607054	0.565529	0.604893	0.598296	0.60971	0.561981	0.63722	0.614809	0.615536	0.610913	0.666237	0.609363	0.646074	0.604079	0.60594	0.61113	0.670778	0.651927	0.599684	0.576299	0.673447	0.621856	0.627684	0.602649	0.611769	0.692764	0.620862	0.607268	0.653758
MLX	0.613931	0.613346	0.616844	0.617539	0.616383	0.615372	0.619437	0.61466	0.619555	0.616991	0.618485	0.614919	0.623836	0.62125	0.61663	0.613505	0.615965	0.615073	0.621172	0.614824	0.614967	0.619446	0.616181	0.611959	0.617265	0.623529	0.617196	0.618787	0.631086
DLX4	0.572462	0.639737	0.617814	0.633579	0.554439	0.619614	0.596158	0.627844	0.589959	0.611674	0.615996	0.671012	0.611388	0.615199	0.624862	0.595601	0.639537	0.600299	0.613138	0.638917	0.635642	0.62656	0.660594	0.639842	0.62892	0.631369	0.63854	0.579855	0.622044
HLF	0.686549	0.63632	0.585414	0.634662	0.586554	0.623709	0.587022	0.607808	0.645407	0.629766	0.590728	0.668105	0.655545	0.597804	0.511743	0.598345	0.631951	0.641617	0.610543	0.653598	0.532422	0.660178	0.626678	0.65255	0.610492	0.633394	0.639302	0.603078	0.672602
FOXN1	0.693147	0.627101	0.627186	0.587586	0.686346	0.544588	0.621675	0.675799	0.493708	0.512107	0.68909	0.686308	0.378974	0.685965	0.664094	0.606763	0.681409	0.68897	0.657584	0.671339	0.686562	0.681666	0.496694	0.659758	0.686575	0.688383	0.683113	0.675539	0.613116
PHOX2B	0.684331	0.688323	0.68968	0.688211	0.686121	0.687817	0.685962	0.676607	0.690511	0.683692	0.68501	0.68074	0.683392	0.685262	0.684689	0.646373	0.677428	0.689007	0.679067	0.688188	0.027405	0.687368	0.690514	0.686589	0.681195	0.689747	0.688886	0.681785	0.693147
NFKB1	0.61948	0.608555	0.620912	0.608792	0.628922	0.614665	0.620246	0.617214	0.617783	0.61532	0.625068	0.614909	0.615411	0.612673	0.617387	0.615236	0.604149	0.610205	0.618254	0.612503	0.627538	0.605375	0.615893	0.610334	0.614768	0.658941	0.614771	0.615988	0.635426
ELF2	0.622674	0.615848	0.620062	0.617027	0.609812	0.620865	0.615126	0.617907	0.615481	0.617631	0.615267	0.619245	0.624987	0.620282	0.618796	0.613517	0.61198	0.610507	0.618247	0.618888	0.609156	0.615799	0.61742	0.620205	0.613711	0.62311	0.619171	0.616768	0.63107
NKX3-2	0.569666	0.676894	0.648916	0.649798	0.509613	0.649687	0.627454	0.566118	0.652426	0.649043	0.625043	0.624678	0.666443	0.634282	0.620358	0.610368	0.645742	0.619538	0.635948	0.641559	0.648292	0.650157	0.65499	0.59218	0.568451	0.53117	0.5939	0.582547	0.688352
KLF3	0.621976	0.602483	0.608281	0.609532	0.61409	0.605972	0.617997	0.623194	0.6162	0.608781	0.623895	0.617616	0.613804	0.623505	0.612392	0.615242	0.657644	0.624788	0.61795	0.604414	0.613225	0.616005	0.608061	0.621026	0.619521	0.624329	0.619975	0.62091	0.633949
DBX1	0.693147	0.649215	0.667606	0.690032	0.665245	0.626335	0.684466	0.622108	0.62403	0.682947	0.574134	0.672647	0.666674	0.687188	0.682221	0.47595	0.616837	0.68951	0.58016	0.679447	0.589235	0.693147	0.693147	0.686245	0.226461	0.693147	0.686682	0.685623	0.693147
ZBTB16	0.686667	0.693147	0.684982	0.687512	0.52039	0.669395	0.598989	0.661424	0.673513	0.658879	0.6715	0.685419	0.592903	0.668916	0.60515	0.625497	0.632735	0.362798	0.633698	0.681893	0.650849	0.681088	0.382986	0.688002	0.620506	0.62694	0.678254	0.681006	0.693147
