	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
HELT	0.693147	0.693147	0.682414	0.67707	0.636598	0.63866	0.566826	0.669976	0.584253	0.565849	0.494023	0.688062	0.632604	0.676277	0.665203	0.479795	0.618056	0.683551	0.618322	0.65699	0.644043	0.693147	0.448824	0.648444	0.572794	0.600091	0.693147	0.623759	0.693147
ASCL4	0.693147	0.693147	0.680052	0.693147	0.674294	0.602276	0.228604	0.686947	0.617729	0.577934	0.683354	0.684002	0.649873	0.684901	0.68023	0.655484	0.410547	0.654882	0.682599	0.686647	0.684041	0.693147	0.626029	0.59143	0.682123	0.693147	0.693147	0.664741	0.693147
ZSCAN23	0.545657	0.669486	0.647497	0.606064	0.570372	0.669765	0.647835	0.586259	0.647153	0.651536	0.612599	0.608254	0.648513	0.60994	0.640221	0.596599	0.65426	0.632062	0.609865	0.663407	0.548674	0.601369	0.587429	0.62481	0.589732	0.608279	0.607728	0.628798	0.681075
ZNF490	0.593134	0.640384	0.627035	0.621941	0.616531	0.615548	0.614982	0.615329	0.633231	0.62043	0.618347	0.625507	0.631773	0.631659	0.629598	0.614011	0.598508	0.596681	0.623886	0.623208	0.601874	0.618465	0.604012	0.612398	0.617762	0.605239	0.615815	0.616627	0.634623
C11ORF95	0.605936	0.632257	0.633106	0.620883	0.597297	0.624218	0.619315	0.610093	0.633542	0.620146	0.615698	0.601049	0.628292	0.616318	0.609156	0.614195	0.617729	0.615023	0.615853	0.62887	0.589407	0.624178	0.634623	0.617361	0.60646	0.612499	0.614592	0.610979	0.650847
MESP2	0.50659	0.62179	0.612375	0.62893	0.596795	0.632204	0.553992	0.648374	0.583542	0.633686	0.623499	0.627923	0.632056	0.652107	0.640356	0.61123	0.665807	0.653137	0.6146	0.629309	0.636095	0.6394	0.607876	0.643684	0.64071	0.620344	0.587061	0.635763	0.599334
ZNF626	0.507656	0.679871	0.632769	0.612416	0.611564	0.676305	0.605876	0.588988	0.693034	0.674503	0.623422	0.565549	0.676666	0.593208	0.634599	0.609244	0.627586	0.654981	0.620657	0.661607	0.610454	0.574709	0.612708	0.61889	0.594152	0.568529	0.59352	0.641021	0.668911
ZNF793	0.547458	0.660872	0.653424	0.616254	0.617013	0.670847	0.591125	0.594802	0.633341	0.649139	0.637448	0.605759	0.657779	0.641506	0.630169	0.58366	0.636989	0.645628	0.608273	0.641983	0.563236	0.603314	0.582393	0.661897	0.599211	0.573353	0.597705	0.600835	0.687712
ZNF383	0.621303	0.626512	0.613451	0.620606	0.613124	0.624253	0.616287	0.615034	0.612445	0.620539	0.622256	0.624081	0.631438	0.621382	0.621206	0.614353	0.611484	0.605188	0.619189	0.618139	0.607861	0.609823	0.610995	0.620268	0.610646	0.617959	0.618616	0.618067	0.625082
HES4	0.56609	0.632197	0.603197	0.589866	0.629555	0.613437	0.592678	0.630104	0.596964	0.610086	0.630272	0.641508	0.601058	0.606079	0.603928	0.606928	0.666372	0.678673	0.604914	0.608787	0.65008	0.627376	0.584819	0.649665	0.621892	0.642217	0.629351	0.602332	0.632655
